 [颗粒剂],湖北
门冬氨酸鸟氨酸, [颗粒剂],江西
硝酸甘油, [贴剂;吸入剂],江西
谷红, [注射剂],江西
尤瑞克林, [注射剂],江西
曲克芦丁脑蛋白水解物, [注射剂],江西
混合糖电解质, [注射剂],江西
钠钾镁钙葡萄糖, [注射剂],江西
复方吲哚美辛, [外用液体剂],江西
参芪扶正丸, ,江西
消石片, ,江西
复方甲麻, [口服液体剂],江西
二氢麦角碱, [注射剂],江西
伊班膦酸钠, [注射剂],江西
奥拉西坦, [口服常释剂型注射剂],江西
包醛氧淀粉, [口服常释剂型],江西
氯喹那多-普罗雌烯, [阴道片],江西
复方氟米松, [软膏剂],江西
丹参川芎嗪, [注射剂],江西
复方天麻颗粒, ,江西
生血康口服液, ,江西
健胃消食片, ,江西
瓜蒌皮注射液, ,江西
首明山胶囊, ,江西
麝香正骨酊, ,江西
香桂活血膏, ,江西
益宫颗粒, ,江西
活血止痛软胶囊, ,江西
复方鱼腥草滴丸, ,江西
桂哌齐特, ,江西
艾司西酞普兰, ,江西
猴头健胃灵片, ,江西
排毒清脂片, ,江西
茶色素胶囊, ,江西
风痛灵, ,江西
孕康口服液, ,江西
复方杏香兔耳风颗粒, ,江西
扭伤归胶囊, ,江西
山香圆片, ,江西
右佐匹克隆, ,江西
多烯磷脂酰胆碱, ,江西
前列地尔, ,江西
复方斑蝥胶囊, ,江西
结石康胶囊, ,江西
血平片, ,江西
海马万应膏, ,江西
前列解毒胶囊, ,江西
滑膜炎片, ,江西
红花如意丸, ,江西
甲砜霉素甘氨酸酯, [注射剂],江西
甲硝唑维B6, [口服常释剂型],江西
蚓激酶, ,江西
康艾扶正胶囊（片）, ,江西
妇科断红饮胶囊, ,江西
沉香化气胶囊, ,江西
正清风痛宁缓释片, ,江西
康妇灵胶囊, ,江西
伤科七味片, ,江西
双虎肿痛宁, ,江西
多西环素, [注射剂],江西
小诺霉素, [注射剂],江西
双氯芬酸, [凝胶剂],江西
萘夫西林, [注射剂],江西
头孢羟氨苄甲氧苄啶, [口服常释剂型],江西
氨酚烷胺, [颗粒剂],江西
小牛血去蛋白提取物, [注射剂],江西
脾多肽, [注射剂],江西
伊达比星, [注射剂],江西
复方三维B, [注射剂],江西
妇炎康复胶囊, ,江西
牡荆油胶丸, ,江西
炎琥宁, [注射剂],江西
头孢氨苄, [缓释控释剂型],江西
头孢曲松他唑巴坦, [注射剂],江西
香菇多糖, [注射剂],江西
骨化三醇, [注射剂],江西
胸腺肽, [口服常释剂型;注射剂],江西
七氟烷, [吸入剂],江西
醋酸钙, [颗粒剂],江西
小儿热咳口服液, ,江西
龟龄集, ,江西
平溃散, ,江西
黄芩胶囊, ,江西
紫灯片, ,江西
血塞通滴丸, ,江西
银杏叶软胶囊, ,江西
参龙宁心胶囊, ,江西
甘露消渴胶囊, ,江西
灵芝浸膏片, ,江西
协日嘎四味汤胶囊, ,江西
治伤胶囊, ,江西
复方感冒胶囊, ,江西
肾宝合剂, ,江西
红花黄色素氯化钠注射液, ,江西
健心胶囊, ,江西
渴络欣胶囊, ,江西
复方地茯口服液, ,江西
裸花紫珠软胶囊, ,江西
帕洛诺司琼, [注射剂],江西
复方鹿茸健骨胶囊, ,江西
双橘颗粒, ,江西
复方熊胆滴眼液, ,江西
云南红药胶囊, ,江西
复方瓜子金颗粒, ,江西
小儿牛黄清心散, ,江西
全杜仲胶囊, ,江西
甘海胃康胶囊, ,江西
柴黄冲剂, ,江西
鸡骨草胶囊, ,江西
四季抗病毒合剂（胶囊), ,江西
黄芪生脉饮, ,江西
保妇康凝胶（阴道泡腾片）, ,江西
接骨续筋片, ,江西
小儿肺热咳喘口服液, ,江西
正胃胶囊, ,江西
六味五灵片, ,江西
山蜡梅叶颗粒, ,江西
叶下珠胶囊, ,江西
穿王消炎片, ,江西
血必净注射液, ,江西
健脑安神片, ,江西
奥美沙坦酯, [口服常释剂型],辽宁
尼可地尔, [口服常释剂型],辽宁
复方消化酶(Ⅱ), [口服常释剂型],辽宁
复方二氯醋酸二异丙胺, [口服常释剂型],辽宁
克霉唑, [涂剂],辽宁
吡嘧司特钾, [滴眼剂],辽宁
柳栎浸膏, [口服常释剂型],辽宁
小牛血清去蛋白, [口服常释剂型],辽宁
复方氨基酸, [口服常释剂型],江西
罗格列酮, ,江西
美西律, [注射剂],辽宁
依折麦布, [口服常释剂型],辽宁
艾普拉唑, [口服常释剂型],辽宁
复方酮康唑, [外用液体剂],辽宁
尿多酸肽, [注射剂],辽宁
酮咯酸氨丁三醇, [注射剂],辽宁
参芎葡萄糖, [注射剂],辽宁
氟比洛芬, [巴布膏剂],辽宁
芬太尼, ,江西
鲑鱼降钙素, ,江西
多奈哌齐, ,江西
转化糖, ,江西
慈航片, ,江西
艾愈胶囊, ,江西
胃祥宁颗粒, ,江西
血康胶囊, ,江西
跌打损伤丸, ,江西
大七厘胶囊(片), ,江西
福莫特罗, [口服常释剂型],江西
乳酸菌素, [口服常释剂型],江西
还原型谷胱甘肽, ,江西
血脂平胶囊, ,江西
养血当归颗粒, ,江西
芪珍胶囊, ,江西
双藤筋骨片, ,江西
锯叶棕果实提取物软胶囊, ,江西
颈康胶囊, ,江西
骨松康合剂, ,江西
核糖核酸Ⅱ, [注射剂],江西
尼群洛尔, [口服常释剂型],江西
复合辅酶, [注射剂],江西
地氯雷他定, [口服常释剂型],江西
复方福尔可定, [口服液体剂],江西
卡托普利, [缓释控释剂型],江西
乳酸亚铁, [口服常释剂型],江西
匹伐他汀, [口服常释剂型],江西
丙哌维林, [口服常释剂型],江西
三磷酸腺苷二钠氯化镁, [注射剂],江西
他扎罗汀, [软膏剂],辽宁
桉柠蒎, [口服常释剂型],辽宁
尼可地尔, [口服常释剂型],江西
蕲蛇酶, [注射剂],江西
脑苷肌肽, [注射剂],江西
甘露聚糖肽, [注射剂],江西
重组人组织型纤溶酶原激酶衍生物, [注射剂],江西
氟伐他汀, [缓释控释剂型],江西
磺达肝癸钠, [注射剂],江西
磷酸肌酸钠, [注射剂],江西
氟尿嘧啶, [植入剂],辽宁
酮咯酸氨丁三醇, [滴眼剂],辽宁
利巴韦林, [吸入剂],辽宁
复方三嗪芦丁, [口服常释剂型],辽宁
小牛血清去蛋白, [注射剂],辽宁
磷酸钠盐, [口服液体剂],辽宁
曲克芦丁脑蛋白水解物, [注射剂],辽宁
加替沙星, [眼用凝胶],辽宁
环丙沙星, [阴道泡腾片],辽宁
氨苄西林丙磺舒, [口服常释剂型],辽宁
赖诺普利氢氯噻嗪,循环系统药物 [口服常释剂],辽宁
替米沙坦氢氯噻嗪,循环系统药物 [口服常释剂],辽宁
左卡尼汀, [口服液体剂],辽宁
复方天麻蜜环糖肽, [口服常释剂型],辽宁
转化糖电解质, [注射剂],辽宁
多糖铁, [口服常释剂型],辽宁
甘露聚糖肽, [口服常释剂型],辽宁
安妥沙星, [口服常释剂型],辽宁
头孢克洛, [口服液体剂],辽宁
甲砜霉素甘氨酸酯, [注射剂],辽宁
奥美沙坦酯氢氯噻嗪,循环系统药物 [口服常释剂],辽宁
尼群洛尔,循环系统药物 [口服常释剂],辽宁
前列解毒胶囊, ,辽宁
尪痹复康颗粒, ,辽宁
止痛消炎软膏, ,辽宁
外伤如意膏, ,辽宁
回天再造丸, ,辽宁
同仁牛黄清心丸, ,辽宁
舒肝调气丸, ,辽宁
红花如意丸, ,辽宁
克拉霉素, [缓释控释剂型],辽宁
头孢孟多酯, [注射剂],辽宁
清浊祛毒丸, ,辽宁
疏风再造丸, ,辽宁
叶金排石胶囊, ,辽宁
血脂平胶囊, ,辽宁
舒肝理气丸, ,辽宁
木香理气片, ,辽宁
活血止痛软胶囊, ,辽宁
康妇灵胶囊, ,辽宁
头孢匹胺, [注射剂],辽宁
伊班膦酸, [注射剂],辽宁
胸腺五肽, [注射剂],辽宁
谷红, [注射剂],辽宁
复方氨基酸（15-HBC）, [注射剂],辽宁
脱氧核苷酸钠, [注射剂],辽宁
卡介菌多糖、核酸, [注射剂],辽宁
枸磺新啶,抗微生物药物 [口服常释剂],辽宁
阿仑膦酸钠维D3,激素及调节内分泌功能药物 [口服常释剂],辽宁
氨氯地平贝那普利,循环系统药物 [口服常释剂],辽宁
降糖舒胶囊, ,辽宁
琥珀抱龙丸, ,辽宁
氨磷汀, [注射剂],辽宁
脑苷肌肽, [注射剂],辽宁
18种氨基酸, [注射剂],辽宁
胎盘多肽, [注射剂],辽宁
头孢噻肟/舒巴坦,抗微生物药物 [注射剂],辽宁
吡格列酮二甲双胍,激素及调节内分泌功能药物 [口服常释剂],辽宁
复方氯丙那林溴己新,呼吸系统药物 [口服常释剂],辽宁
依那普利氢氯噻嗪（复方依那普利）,循环系统药物 [口服常释剂],辽宁
芪明颗粒, ,辽宁
冠心泰丸, ,辽宁
醒脑安神片, ,辽宁
清脑安神丸, ,辽宁
硝酸甘油, [贴剂],辽宁
特利加压素, [注射剂],辽宁
氨溴索, [缓释控释剂型],辽宁
巴柳氮钠, [口服常释剂型],辽宁
地衣芽孢杆菌活菌制剂, [颗粒剂],辽宁
复方二氯醋酸二异丙胺, [注射剂],辽宁
奥沙普秦, [口服常释剂型],辽宁
达克罗宁, [口服液体剂],辽宁
天王补心丹, ,辽宁
卡托普利, [缓释控释剂型],辽宁
二丁酰环磷腺苷, [注射剂],辽宁
鸡胆, [口服液体剂],辽宁
厄多司坦, [口服常释剂型],辽宁
牛磺熊去氧胆酸, [口服常释剂型],辽宁
复方谷氨酰胺, [口服常释剂型],辽宁
核糖核酸Ⅱ, [注射剂],辽宁
复方双氯芬酸钠, [注射剂],辽宁
复方骨肽, [注射剂],辽宁
复方氨酚愈敏, [口服液体剂],辽宁
头孢曲松他唑巴坦, [注射剂],辽宁
氯雷他定, [口服液体剂],辽宁
伊达比星, [注射剂],辽宁
奥拉西坦, [口服常释剂型],辽宁
尤瑞克林, [注射剂],辽宁
二甲双胍格列吡嗪, [口服常释剂型],辽宁
双分伪麻/美扑伪麻,解热镇痛及非甾体抗炎药物 [口服常释剂],辽宁
芪珍胶囊, ,辽宁
调经促孕丸, ,辽宁
头孢甲肟, [注射剂],辽宁
头孢地嗪, [注射剂],辽宁
雷替曲塞, [注射剂],辽宁
胞二磷胆碱, [注射剂],辽宁
丙戊酸钠, [口服液体剂],辽宁
木糖醇, [注射剂],辽宁
薄芝糖肽, [注射剂],辽宁
雌二醇片/雌二醇地屈孕酮,激素及调节内分泌功能药物 [口服常释剂],辽宁
灵莲花颗粒, ,辽宁
香砂养胃软胶囊, ,辽宁
止咳枇杷糖浆, ,辽宁
舒肝宁注射液, ,辽宁
安宫牛黄栓, ,辽宁
小儿百效片, ,辽宁
抗感解毒胶囊, ,辽宁
黄芩胶囊, ,辽宁
冠心通片, ,辽宁
冠心静胶囊（片）, ,辽宁
复方黄松洗液, ,辽宁
牛黄醒脑丸, ,辽宁
愈肝龙颗粒, ,辽宁
天麻醒脑胶囊, ,辽宁
复方芩兰口服液, ,辽宁
芪黄通秘软胶囊, ,辽宁
金莲清热泡腾片, ,辽宁
北豆根胶囊（片）, ,辽宁
舒脑欣滴丸, ,辽宁
注射用红花黄色素, ,辽宁
清燥润肺合剂, ,辽宁
牛黄清脑开窍丸, ,辽宁
羚翘解毒片, ,辽宁
益心复脉颗粒, ,辽宁
黄杨宁分散片, ,辽宁
葛酮通络胶囊, ,辽宁
心肝宝胶囊, ,辽宁
非诺贝特, [缓释控释剂型],辽宁
氨氯地平阿托伐他汀, [口服常释剂型],辽宁
磺达肝癸钠, [注射剂],辽宁
培哚普利吲达帕胺,循环系统药物 [口服常释剂],辽宁
缬沙坦氨氯地平,循环系统药物 [口服常释剂],辽宁
牛黄上清软胶囊, ,辽宁
血必净注射液, ,辽宁
大川芎颗粒（口服液）, ,辽宁
海昆肾喜胶囊, ,辽宁
氟伐他汀, [缓释控释剂型],辽宁
匹伐他汀, [口服常释剂型],辽宁
氯沙坦氢氯噻嗪, [口服常释剂型],辽宁
心肌肽, [注射剂],辽宁
厄贝沙坦/氢氯噻嗪,循环系统药物 [口服常释剂],辽宁
舒筋通络颗粒, ,辽宁
玄胡止痛片, ,辽宁
冠心安滴丸, ,辽宁
醒脑降压丸, ,辽宁
康艾扶正片, ,辽宁
金嗓清音丸, ,辽宁
仙璐贝滴剂, ,辽宁
根痛平颗粒, ,辽宁
潮安胶囊, ,辽宁
复方三维B(II), [注射剂],辽宁
金葡素, [注射剂],辽宁
疏肝益阳胶囊, ,辽宁
清眩片, ,辽宁
调肝和胃丸, ,辽宁
复方三七片, ,辽宁
明目地黄胶囊, ,辽宁
协日嘎四味汤胶囊, ,辽宁
经带宁胶囊, ,辽宁
通乳颗粒, ,辽宁
转移因子, [口服常释剂型],辽宁
甲基硫氧嘧啶, [口服常释剂型],辽宁
匹多莫德, [口服液体剂],辽宁
脂溶性维生素（Ⅱ）/水溶性维生素,维生素及矿物质缺乏症用药物 [注射剂],辽宁
氨溴特罗口服溶液,呼吸系统药物 [口服液体剂],辽宁
缬沙坦氢氯噻嗪,循环系统药物 [口服常释剂],辽宁
复方右旋糖酐40,调节水电解质及酸碱平衡药物 [注射剂],辽宁
双唑泰栓,专科特殊用药物 [栓剂],辽宁
正清风痛宁缓释片, ,辽宁
降脂通络软胶囊, ,辽宁
阿司匹林, [缓释控释剂型],辽宁
地佐辛, [注射剂],辽宁
香菇多糖, [注射剂],辽宁
二甲双胍马来酸罗格列酮,激素及调节内分泌功能药物 [口服常释剂],辽宁
贝那普利氢氯噻嗪,循环系统药物 [口服常释剂],辽宁
坎地沙坦氢氯噻嗪（坎地噻嗪）,循环系统药物 [口服常释剂],辽宁
拉坦噻吗,专科特殊用药物 [滴眼剂],辽宁
复方荜茇止痛胶囊, ,辽宁
化癥回生口服液, ,辽宁
月芝软胶囊, ,辽宁
曲马多(Ⅱ), [缓释控释剂型],辽宁
奥布卡因, [凝胶剂],辽宁
铝镁匹林(Ⅱ), [口服常释剂型],辽宁
头孢哌酮他唑巴坦, [注射剂],辽宁
氨苄西林, [口服常释剂型],辽宁
头孢氨苄, [缓释控释剂型],辽宁
环酯红霉素, [口服常释剂型],辽宁
斑蝥酸钠, [注射剂],辽宁
艾地苯醌, [口服常释剂型],辽宁
脂肪乳氨基酸（18）, [注射剂],辽宁
丹参川芎嗪, [注射剂],辽宁
依卡倍特, [颗粒剂],辽宁
吗啡, [口服液体剂],辽宁
头孢替唑, [注射剂],辽宁
羧苄西林, [注射剂],辽宁
头孢噻利, [注射剂],辽宁
斑蝥酸钠维生素B6, [注射剂],辽宁
奥拉西坦, [注射剂],辽宁
脾氨肽, [口服液体剂],辽宁
12种复合维生素, [注射剂],辽宁
辅酶Q10, [口服常释剂型],辽宁
马洛替酯, [缓释控释剂型],辽宁
可待因, [缓释控释剂型],辽宁
氟芬那酸丁酯, [软膏剂],辽宁
灭活埃希的松, [软膏剂],辽宁
氟替卡松, [软膏剂],辽宁
氢化可的松新霉素, [滴耳剂],辽宁
门冬氨酸钾, [注射剂],辽宁
叶酸维B12, [口服常释剂型],辽宁
赖氨匹林, [口服常释剂型],辽宁
瓜蒌皮注射液, ,辽宁
蛭蛇通络胶囊, ,辽宁
复合辅酶, [注射剂],辽宁
卵磷脂络合碘, [口服常释剂型],辽宁
红霉素-过氧苯甲酰, [凝胶剂],辽宁
环丙沙星, [栓剂],辽宁
蛋白琥珀酸铁, [口服液体剂],辽宁
低分子右旋糖酐氨基酸, [注射剂],辽宁
泰必利, [口服常释剂型],辽宁
美洛昔康, [注射剂],辽宁
血康口服液, ,辽宁
香砂和胃丸, ,辽宁
儿科七厘散, ,辽宁
皮敏消胶囊, ,辽宁
麝香祛痛气雾剂, ,辽宁
递法明片, ,辽宁
苦参凝胶, ,辽宁
熊胆开明片, ,辽宁
保胎丸, ,辽宁
复方苦参肠炎康片, ,辽宁
复方氨基酸(17AA-H), [注射剂],内蒙古
头孢泊肟酯, [口服常释剂型],内蒙古
苍耳子鼻炎胶囊, ,辽宁
麝香壮骨膏, ,辽宁
补肾健骨胶囊, ,辽宁
日舒安洗液, ,辽宁
妇炎净胶囊, ,辽宁
加味八珍益母膏, ,辽宁
金贝痰咳清颗粒, ,辽宁
利胆止痛胶囊, ,辽宁
脱氧核苷酸, [注射剂],内蒙古
羧苄西林, [注射剂],内蒙古
阿莫西林氟氯西林, [注射剂],内蒙古
头孢尼西, [注射剂],内蒙古
胎盘多肽, [注射剂],内蒙古
阿加曲班, [注射剂],内蒙古
氯氧喹, [口服常释剂型],内蒙古
酮洛芬, [凝胶剂],内蒙古
甲磺酸二氢麦角碱, [注射剂],内蒙古
枫香脂十味丸, ,内蒙古
连翘四味胶囊, ,内蒙古
阿那日十四味散, ,内蒙古
多西环素, [注射剂],内蒙古
炔雌醇环丙孕酮, [口服常释剂型],内蒙古
肌氨肽苷, [注射剂],内蒙古
培美曲塞, [注射剂],内蒙古
培门冬酶, [注射剂],内蒙古
氨基比林咖啡因, [口服常释剂型],内蒙古
嘎日迪五味丸, ,内蒙古
三子颗粒, ,内蒙古
阿那日八味散, ,内蒙古
西红花十六味散, ,内蒙古
菖蒲四味丸, ,内蒙古
阿如健脾散, ,内蒙古
四味光明盐汤散, ,内蒙古
双红活血胶囊, ,内蒙古
清热八味丸, ,内蒙古
那如三味片, ,内蒙古
消积洁白丸, ,内蒙古
大黄三味片, ,内蒙古
间苯三酚, [注射剂],内蒙古
脑蛋白水解物, [注射剂],内蒙古
哈日十二味散, ,内蒙古
清肝七味散, ,内蒙古
二十五味鬼臼丸, ,内蒙古
三味檀香胶囊, ,内蒙古
珊瑚七十味丸, ,内蒙古
小儿清肺八味丸, ,内蒙古
安神镇惊二十味丸, ,内蒙古
手掌参三十七味丸, ,内蒙古
牛磺熊去氧胆酸, [口服常释剂型],内蒙古
脑苷肌肽, [注射剂],内蒙古
蕲蛇酶, [注射剂],内蒙古
复方妥英麻黄茶碱, [口服常释剂型],内蒙古
美司坦, [口服常释剂型],内蒙古
复方硫酸新霉素, [滴眼剂],内蒙古
转化糖电解质, [注射剂],内蒙古
高渗氯化钠羟乙基淀粉40, [注射剂],内蒙古
复方右旋糖酐40, [注射剂],内蒙古
复方三维B(II), [注射剂],内蒙古
颈痛灵胶囊, ,辽宁
茵山莲颗粒, ,辽宁
胃膜素, [口服常释剂型],内蒙古
桉柠蒎, [口服常释剂型],内蒙古
细菌溶解产物, [口服常释剂型],内蒙古
氟轻松维B6, [软膏剂],内蒙古
尼克地尔, [口服常释剂型],内蒙古
多糖铁复合物, [缓释控释剂型],内蒙古
达克罗宁, [口服液体剂],内蒙古
地佐辛, [注射剂],内蒙古
肾肝宁胶囊, ,辽宁
秋燥感冒颗粒, ,辽宁
羚羊感冒片, ,辽宁
清热解毒软胶囊, ,辽宁
强肾片, ,辽宁
大株红景天胶囊（注射液）, ,辽宁
脑栓康复胶囊, ,辽宁
安眠补脑口服液, ,辽宁
肾炎平颗粒, ,辽宁
泻肝安神胶囊, ,辽宁
八味三香散, ,内蒙古
菖蒲四味胶囊, ,内蒙古
炎见宁片, ,辽宁
蒲地蓝消炎口服液, ,辽宁
血府逐瘀软胶囊, ,辽宁
心欣舒胶囊, ,辽宁
消栓通颗粒, ,辽宁
参芪消渴胶囊, ,辽宁
复方活脑舒胶囊, ,辽宁
宁心安神胶囊, ,辽宁
明目二十五味丸, ,内蒙古
锁阳三味片, ,内蒙古
消肿九味散, ,内蒙古
十五味萝蒂明目丸, ,内蒙古
镇刺六味丸, ,内蒙古
珍珠通络丸, ,内蒙古
给喜古纳片, ,内蒙古
清血八味胶囊, ,内蒙古
诃子五味胶囊, ,内蒙古
蛭蛇通络胶囊, ,内蒙古
四味土木香汤散, ,内蒙古
三子散, ,内蒙古
透骨灵橡胶膏, ,内蒙古
行气止痛丸, ,内蒙古
那仁明目汤散, ,内蒙古
土茯苓七味汤散, ,内蒙古
舒筋十二味丸, ,内蒙古
花锚肝宁片, ,内蒙古
龙灯胶囊, ,内蒙古
注射用红花黄色素, ,内蒙古
森登四味汤散, ,内蒙古
益智温肾十味丸, ,内蒙古
益肾十七味丸, ,内蒙古
云香十五味丸, ,内蒙古
凉血十味散, ,内蒙古
洪林五味汤散, ,内蒙古
玉簪清咽十五味散, ,内蒙古
清瘟消肿九味丸, ,内蒙古
哈敦海鲁木勒十三味丸, ,内蒙古
消食十味丸, ,内蒙古
三臣丸, ,内蒙古
巴特日六味汤散, ,内蒙古
三味蒺藜散, ,内蒙古
清瘟止痛十四味丸, ,内蒙古
藜芦十二味丸, ,内蒙古
克感额日敦片, ,内蒙古
清热二十五味丸, ,内蒙古
乌兰十三味汤散, ,内蒙古
健脾五味丸, ,内蒙古
止痢七味散, ,内蒙古
清瘟十二味丸, ,内蒙古
克感额日敦胶囊, ,内蒙古
土木香十味汤散, ,内蒙古
顺气十三味散, ,内蒙古
哈敦海鲁木勒九味丸, ,内蒙古
消食十味胶囊, ,内蒙古
利肝和胃丸, ,内蒙古
利胆八味散, ,内蒙古
牛黄十三味丸, ,内蒙古
肋柱花四味汤散, ,内蒙古
八味沉香散, ,内蒙古
麝香祛痛喷雾剂, ,内蒙古
清热止痛三味汤散, ,内蒙古
健胃十味丸, ,内蒙古
光明盐四味胶囊, ,内蒙古
连翘四味汤散, ,内蒙古
调元大补二十五味汤散, ,内蒙古
清肝九味散, ,内蒙古
清瘟利胆十三味丸, ,内蒙古
止痢十五味丸, ,内蒙古
仙璐贝滴剂, ,内蒙古
痹痛宁胶囊, ,内蒙古
桔梗八味片, ,内蒙古
清咽六味散, ,内蒙古
五味沙棘散, ,内蒙古
川蛭通络胶囊, ,内蒙古
肾康栓, ,内蒙古
圣·约翰草提取物片, ,内蒙古
清眩丸, ,内蒙古
荡石片, ,内蒙古
酮咯酸氨丁三醇, [注射剂],内蒙古
头孢丙烯, [颗粒剂],内蒙古
五味清浊散, ,内蒙古
三味檀香汤散, ,内蒙古
八味檀香散, ,内蒙古
锯叶棕果实提取物软胶囊, ,内蒙古
逍遥软胶囊, ,内蒙古
舒肝和胃丸, ,内蒙古
妇科断红饮胶囊, ,内蒙古
首明山胶囊, ,内蒙古
科博肽, [注射剂],内蒙古
头孢甲肟, [注射剂],内蒙古
头孢替唑, [注射剂],内蒙古
头孢孟多酯, [注射剂],内蒙古
复方氨基酸(18AA-N), [注射剂],内蒙古
小牛血清去蛋白, [注射剂],内蒙古
米格列奈, [口服常释剂型],内蒙古
那如八味丸, ,内蒙古
补肾健胃二十一味丸, ,内蒙古
利尿八味散, ,内蒙古
芪珍胶囊, ,内蒙古
弹性酶, [口服常释剂型],内蒙古
甲砜霉素甘氨酸酯, [注射剂],内蒙古
脾多肽, [注射剂],内蒙古
水解蛋白, [口服液体剂],内蒙古
牛磺酸, [口服常释剂型],内蒙古
艾地苯醌, [口服常释剂型],内蒙古
那如三味丸, ,内蒙古
文冠木软膏, ,内蒙古
黄柏八味散, ,内蒙古
促肝细胞生长素, [口服常释剂型],内蒙古
甘糖酯, [口服常释剂型],内蒙古
依那普利氢氯噻嗪, [口服常释剂型],内蒙古
长春胺, [缓释控释剂型],内蒙古
复方醋酸氟轻松, [外用液体剂],内蒙古
洛美沙星, [滴眼剂],内蒙古
维替泊芬, [注射剂],内蒙古
复方蓝棕果, [口服常释剂型],内蒙古
磺达肝癸钠, [注射剂],内蒙古
汉防己甲素, [注射剂],内蒙古
血康胶囊, ,内蒙古
血塞通软胶囊（滴丸）, ,内蒙古
地衣芽孢杆菌活菌制剂, [颗粒剂],内蒙古
磷酸铝, [凝胶剂],内蒙古
钠钾镁钙葡萄糖, [注射剂],内蒙古
牛痘疫苗接种家兔炎症皮肤提取物, [注射剂],内蒙古
氯化钾环戊噻嗪, [缓释控释剂型],内蒙古
二丁酰环磷腺苷, [注射剂],内蒙古
头孢哌酮他唑巴坦, [注射剂],内蒙古
结构脂肪乳(C6～24), [注射剂],内蒙古
复方丹参气雾剂, ,内蒙古
舒血宁注射液, ,内蒙古
清热消炎宁软胶囊, ,内蒙古
感冒灵胶囊, ,内蒙古
复方羊角胶囊（颗粒）, ,内蒙古
珠子肝泰胶囊, ,内蒙古
金贝痰咳清颗粒, ,内蒙古
五味沙棘颗粒, ,内蒙古
镇痛活络酊, ,内蒙古
沉香安神散, ,内蒙古
十八味欧曲丸, ,内蒙古
冠心七味胶囊, ,内蒙古
三白草肝炎颗粒, ,内蒙古
柴连口服液, ,内蒙古
黄藤素软胶囊, ,内蒙古
艽龙胶囊, ,内蒙古
结肠宁, ,内蒙古
补骨脂注射液, ,内蒙古
肤痔清软膏, ,内蒙古
芪风颗粒, ,内蒙古
十五味龙胆花丸, ,内蒙古
黄柏八味片, ,内蒙古
沉香安神胶囊, ,内蒙古
德都红花七味散, ,内蒙古
七味沙参汤散, ,内蒙古
参竹精胶囊, ,内蒙古
消肿橡胶膏, ,内蒙古
苏木六味汤散, ,内蒙古
扁蕾颗粒, ,内蒙古
菊花七味胶囊, ,内蒙古
12种复合维生素, [注射剂],内蒙古
转移因子, [口服液体剂],内蒙古
凉血退热排毒丸, ,内蒙古
冠心七味滴丸, ,内蒙古
五根油丸, ,内蒙古
胡日查六味丸, ,内蒙古
七味广枣丸, ,内蒙古
活血六味散, ,内蒙古
冠心七味片, ,内蒙古
地丁三味汤散, ,内蒙古
伊班膦酸钠, [注射剂],内蒙古
薄芝糖肽, [注射剂],内蒙古
复方骨肽, [注射剂],内蒙古
氯普鲁卡因, [注射剂],内蒙古
依托考昔, [口服常释剂型],内蒙古
文冠木十味汤散, ,内蒙古
乌兰三味汤散, ,内蒙古
黑云香四味汤散, ,内蒙古
寒水石二十一味散, ,内蒙古
壮西六味散, ,内蒙古
复方石韦片, ,内蒙古
生血康口服液, ,内蒙古
丙戊酸钠, [口服液体剂],内蒙古
单磷酸阿糖腺苷, [注射剂],内蒙古
斑蝥酸钠维生素B6, [注射剂],内蒙古
协日嘎四味汤散, ,内蒙古
土木香五味汤散, ,内蒙古
清瘟止痛十一味丸, ,内蒙古
壮西六味丸, ,内蒙古
阿那日五味散, ,内蒙古
回生口服液, ,内蒙古
补血益母颗粒, ,内蒙古
汉防已甲素, [片剂],内蒙古
核糖核酸Ⅱ, [注射剂],内蒙古
拉呋替丁, [颗粒剂],内蒙古
三磷酸胞苷, [注射剂],内蒙古
单唾液酸四己糖神经节苷脂, [注射剂],内蒙古
尤瑞克林, [注射剂],内蒙古
参芎葡萄糖, [注射剂],内蒙古
氟替卡松, [软膏剂],内蒙古
奥洛他定, [滴眼剂],内蒙古
七叶洋地黄双苷, [滴眼剂],内蒙古
复方二氯醋酸二异丙胺, [注射剂],内蒙古
小麦纤维素, [颗粒剂],内蒙古
艾普拉唑, [口服常释剂型],内蒙古
双歧杆菌乳杆菌三联活菌制剂, [口服常释剂型],内蒙古
奥拉西坦, [注射剂],内蒙古
胃铋镁, [颗粒剂],内蒙古
吡美莫司, [软膏剂],内蒙古
牛痘疫苗接种家兔炎症皮肤提取物, [口服常释剂型],内蒙古
吡嘧司特钾, [滴眼剂],内蒙古
枸橼酸氢钾钠, [颗粒剂],内蒙古
辅酶Q10, [口服常释剂型],内蒙古
曲克芦丁脑蛋白水解物, [注射剂],内蒙古
藻酸双酯钠, [注射剂],内蒙古
头孢地嗪, [注射剂],内蒙古
加替沙星, [注射剂],内蒙古
氟氯西林, [注射剂],内蒙古
头孢哌酮, [注射剂],内蒙古
小牛脾提取物, [注射剂],内蒙古
利咽解毒颗粒, ,内蒙古
清肺十八味丸, ,内蒙古
磷酸肌酸钠, [注射剂],内蒙古
磷酸钠盐, [口服液体剂],内蒙古
谷红, [注射剂],内蒙古
头孢匹胺, [注射剂],内蒙古
葡萄糖酸钙锌, [口服液体剂],内蒙古
克拉霉素, [缓释控释剂型],内蒙古
