 [颗粒剂],湖北
云南红药散（胶囊）, ,湖北
湿痒洗液, ,湖北
暖宫孕子胶囊, ,湖北
血必净注射液, ,湖北
肝舒乐冲剂, ,湖北
复方三七口服液（片）, ,湖北
头孢呋辛, [口服液体剂型],湖南
木香理气片（丸）, ,湖北
伤湿祛痛膏, ,湖北
活血止痛软胶囊, ,湖北
妇炎康颗粒, ,湖北
妇科断红饮胶囊, ,湖北
复方熊胆滴眼液, ,湖北
金叶败毒颗粒, ,湖北
复方甘草片, ,湖北
杜仲补腰合剂, ,湖北
庆大霉素, [颗粒剂],湖南
头孢克洛, [口服液体剂型],湖南
双氯芬酸, [贴剂],湖南
罗红霉素, [颗粒剂],湖南
头孢羟氨苄, [咀嚼片],湖南
冻疮膏, [软膏剂],湖南
安络痛, [口服常释剂型],湖南
喹硫平, [缓释控释剂型],湖南
尼美舒利, [颗粒剂],湖南
苯丙哌林, [口服液体剂型],湖南
阿莫西林克拉维酸, [注射剂],湖南
多西环素, [注射剂],湖南
阿司匹林, [栓剂],湖南
阿苯达唑, [颗粒剂],湖南
消毒弹性创可贴, [橡胶膏剂],湖南
氨苄西林, [颗粒剂],湖南
可待因, [口服液体剂型],湖南
脑蛋白水解物, [注射剂],湖南
吲哚美辛, [软膏剂],湖南
比沙可啶, [口服常释剂型],湖南
氨苄西林舒巴坦, [注射剂],湖南
瑞芬太尼, [注射剂],湖南
帕米膦酸二钠, [注射剂],湖南
尼莫司汀, [注射剂],湖南
多西他赛, [注射剂],湖南
多索茶碱, [口服常释剂型],湖南
甘草酸二铵, [注射剂],湖南
氯沙坦钾, [口服常释剂型],湖南
氟伐他汀, [口服常释剂型],湖南
丁桂儿脐贴, ,湖南
感冒解毒片, ,湖南
复方氨基酸 15AA, [注射剂],湖南
阿法骨化醇, [口服常释剂型],湖南
氟达拉滨, [注射剂],湖南
替尼泊苷, [注射剂],湖南
布地奈德福莫特罗, [吸入剂],湖南
坎地沙坦, [口服常释剂型],湖南
阿托伐他汀, [口服常释剂型],湖南
洛伐他汀, [口服常释剂型],湖南
风寒感冒颗粒, ,湖南
小儿感冒颗粒, ,湖南
石淋通片（冲剂）, ,湖南
仙灵脾片, ,湖南
排石利胆片, ,湖南
阿胶当归颗粒（合剂）, ,湖南
芪血通络片, ,湖南
红核妇洁洗液, ,湖南
双氯芬酸, [栓剂],湖南
哌嗪, [口服液体剂型],湖南
双氯芬酸, [凝胶剂],湖南
阿莫西林, [注射剂],湖南
沙棘干乳剂, ,湖南
妇科止带片, ,湖南
当归丸, ,湖南
健脑安神片, ,湖南
藿香正气滴丸, ,湖南
头孢丙烯, [口服液体剂型],湖南
阿奇霉素, [口服液体剂型],湖南
复方地塞米松, [软膏剂],湖南
苯扎氯铵, [贴剂],湖南
阿莫西林克拉维酸, [咀嚼片],湖南
乳酸菌, [阴道胶囊],湖南
二氧丙嗪, [颗粒剂],湖南
克仑特罗, [吸入剂],湖南
地西泮, [贴剂],湖南
地衣芽孢杆菌活菌, [颗粒剂],湖南
右旋糖酐铁, [口服常释剂型],湖南
阿米卡星, [滴眼剂],湖南
阿魏酸钠, [注射剂],湖南
普伐他汀, [口服常释剂型],湖南
人纤维蛋白原, [注射剂],湖南
氟氯西林, [口服常释剂型],湖南
喷托维林, [口服液体剂型],湖南
五氟利多, [缓释控释剂型],湖南
艾司唑仑, [注射剂],湖南
枸橼酸钾, [口服液体剂型],湖南
四环素醋酸可的松, [眼膏剂],湖南
复方二氯醋酸二异丙胺, [口服常释剂型],湖南
山梨醇, [注射剂],湖南
辛伐他汀, [滴丸剂],湖南
重组人促红素（CHO 细胞）, [注射剂],湖南
重组人粒细胞刺激 因子, [注射剂],湖南
门冬氨酸钾镁, [口服常释剂型],湖南
复方斑蝥胶囊, ,湖南
黄芪注射液, ,湖南
华佗膏, ,湖南
华蟾素胶囊（片）, ,湖南
天麻首乌胶囊, ,湖南
洁尔阴洗液, ,湖南
复合维生素 B, [注射剂],湖南
丙戊酸钠, [口服液体剂型],湖南
贝前列素, [口服常释剂型],湖南
门冬氨酸钾镁, [注射剂],湖南
消癌平注射液, ,湖南
生血宝合剂（颗粒）, ,湖南
复方风湿宁注射 液, ,湖南
川贝枇杷颗粒（胶囊、片）, ,湖南
七叶神安滴丸, ,湖南
健脾润肺丸, ,湖南
氯雷他定, [口服液体剂型],湖南
小儿氨酚黄那敏, [颗粒剂],湖南
小儿伪麻美芬, [口服液体剂型],湖南
小檗胺, [口服常释剂型],湖南
维生素 AD, [口服液体剂型],湖南
头孢哌酮, [注射剂],湖南
氨苄西林氯唑西林, [注射剂],湖南
长春胺, [缓释控释剂型],湖南
丹参川芎嗪, [注射剂],湖南
环磷腺苷葡胺, [注射剂],湖南
小儿电解质补给, [注射剂],湖南
混合糖电解质, [注射液],湖南
氨基酸, [注射剂],湖南
复方骨肽, [注射剂],湖南
维生素 AD, [口服常释剂型],湖南
小诺霉素, [口服常释剂型],湖南
阿糖腺苷, [注射剂],湖南
抑肽酶, [注射剂],湖南
维酶素, [口服常释剂型],湖南
聚明胶肽, [注射剂],湖南
二维亚铁, [颗粒剂],湖南
芦丁, [口服常释剂型],湖南
哌罗匹隆, [口服常释剂型],湖南
齐墩果酸, [口服常释剂型],湖南
桉柠蒎, [口服常释剂型],湖南
阿莫西林, [颗粒剂],湖南
吡格列酮, [口服常释剂型],湖南
薄芝糖肽, [注射剂],湖南
沙美特罗, [吸入剂],湖南
替米沙坦, [口服常释剂型],湖南
川贝枇杷露, ,湖南
银杏酮酯分散片, ,湖南
粉尘螨, [口服液体剂型],湖南
复方联苯双酯, [口服常释剂型],湖南
西沙必利, [口服常释剂型],湖南
阿德福韦酯, [口服常释剂型],湖南
榄香烯, [注射剂],湖南
法舒地尔, [注射剂],湖南
亮菌, [口服液体剂],湖南
缬沙坦, [口服常释剂型],湖南
天麻首乌片, ,湖南
小儿止咳糖浆, ,湖南
三蛇胆川贝糖浆, ,湖南
咳特灵胶囊, ,湖南
儿感退热宁颗粒, ,湖南
熊胆舒肝利胆胶囊, ,湖南
四季抗病毒合剂, ,湖南
阿胶补血颗粒, ,湖南
头孢克肟, [口服液体剂型],湖南
头孢丙烯, [咀嚼片],湖南
左旋咪唑, [口服液体剂型],湖南
甘草锌, [颗粒剂],湖南
止咳宝片, ,湖南
肺泰胶囊, ,湖南
复方芩兰口服液, ,湖南
六一散, ,湖南
大明胶囊, ,湖南
茸桂补肾口服液, ,湖南
氯霉素, [口服常释剂型],湖南
头孢克洛, [咀嚼片],湖南
复方氨基比林, [注射剂],湖南
胸腺肽, [注射剂],湖南
左旋咪唑, [口服常释剂型],湖南
小诺霉素, [注射剂],湖南
舒他西林, [口服常释剂型],湖南
双氢青蒿素, [口服常释剂型],湖南
肾上腺色腙, [口服常释剂型],湖南
碘酊, [外用溶液剂],湖南
苯丙哌林, [口服常释剂型],湖南
复方氨基丁酸维 E, [口服常释剂型],湖南
氯化铵, [口服常释剂型],湖南
阿莫西林, [口服液体剂],湖南
头孢替唑, [注射剂],湖南
萘夫西林, [注射剂],湖南
卡那霉素, [注射剂],湖南
乌洛托品, [口服常释剂型],湖南
低分子右旋糖酐氨基酸, [注射剂],湖南
安非他酮, [口服常释剂型],湖南
洛沙平, [口服常释剂型],湖南
黄芩苷, [口服常释剂型],湖南
哌仑西平, [口服常释剂型],湖南
阿莫西林克拉维酸, [口服液体剂],湖南
阿莫西林克拉维酸, [颗粒剂],湖南
拉米夫定, [口服常释剂型],湖南
木糖醇, [注射剂],湖南
骨化三醇, [口服常释剂型],湖南
胸腺肽 α1（胸腺法新）, [注射剂],湖南
地衣芽孢杆菌活菌 制剂, [口服常释剂型],湖南
多烯磷脂酰胆碱, [注射剂],湖南
异甘草酸镁, [注射剂],湖南
七叶神安片, ,湖南
麻杏止咳糖浆, ,湖南
伊曲康唑, [注射剂],湖南
鹿瓜多肽, [注射剂],湖南
钠钾镁钙葡萄糖, [注射剂],湖南
α－干扰素, [注射剂],湖南
多奈哌齐, [口服常释剂型],湖南
双歧杆菌三联活菌 制剂, [口服常释剂型],湖南
复方甘草甜素 （复方甘草酸苷）, [注射剂],湖南
三磷酸腺苷, [注射剂],湖南
润肺止咳胶囊, ,湖南
复方罗汉果清肺颗粒（糖 浆）, ,湖南
清胰利胆丸, ,湖南
元和正胃片, ,湖南
平喘抗炎胶囊, ,湖南
消糖灵胶囊, ,湖南
多库酯钠, [口服常释剂型],吉林
复合辅酶, [注射剂],吉林
阿魏酸钠, [注射剂],吉林
桉柠蒎, [口服常释剂型],吉林
硫软膏, [软膏剂],湖南
吡诺克辛, [滴眼剂],湖南
小儿葫芦散, ,湖南
妇炎康复片, ,湖南
婴儿健脾口服液, ,湖南
养阴降糖片, ,湖南
依托考昔, [口服常释剂型],吉林
依折麦布, [口服常释剂型],吉林
氨溴索, [缓释控释剂型],吉林
胃铋镁, [颗粒剂],吉林
达克罗宁, [口服液体剂型],湖南
曲安奈德新霉素, [贴剂],湖南
西地碘, [含片],湖南
聚维酮碘, [外用液体剂型],湖南
曲马多, [栓剂],湖南
麻黄碱, [口服常释剂型],湖南
安乃近, [注射剂],湖南
碳酸钙, [颗粒剂],湖南
曲咪新, [软膏剂],湖南
特洛伪麻, [口服常释剂型],湖南
萘敏维, [滴眼剂],吉林
肌氨肽苷, [注射剂],吉林
氨苄西林, [口服常释剂型],湖南
谷氨酸, [口服常释剂型],湖南
维生素 B12, [口服常释剂型],湖南
安乃近, [滴鼻剂],湖南
丙戊酸镁, [口服常释剂型],湖南
西替利嗪, [口服液体剂型],湖南
氯芬那酸, [口服常释剂型],湖南
右旋酮洛芬, [口服常释剂型],湖南
雷莫司琼, [注射剂],吉林
二丁酰环磷腺苷, [注射剂],吉林
益康唑, [吸入剂],吉林
曲克芦丁羟丙茶碱, [口服常释剂型],吉林
奥硝唑, [口服常释剂型],吉林
氟比洛芬, [巴布膏剂],吉林
美洛昔康, [注射剂],吉林
头孢氨苄, [缓释控释剂型],吉林
斑蝥酸钠维生素B6, [注射剂],吉林
脑蛋白水解物, [注射剂],吉林
琥珀酰明胶, [注射剂],湖南
滋肾健脑液, ,湖南
牛磺酸, [滴眼剂],吉林
炎琥宁, [注射剂],吉林
阿糖腺苷, [注射剂],吉林
氨基比林咖啡因, [口服常释剂型],吉林
五水头孢唑林, [注射剂],吉林
头孢哌酮他唑巴坦, [注射剂],吉林
脑蛋白水解物, [口服液体剂],吉林
复方氨基酸（8-11）, [口服常释剂型],吉林
米索前列醇, [口服常释剂型],湖南
消癌平丸（胶囊、片）, ,湖南
百令胶囊（片）, ,湖南
玉屏风口服液, ,湖南
小儿热速清糖浆, ,湖南
安络痛片, ,湖南
脂必妥片, ,湖南
复方风湿宁颗粒（胶囊、片）, ,湖南
散痛舒胶囊, ,湖南
益肝灵软胶囊, ,湖南
龟芪参口服液, ,吉林
益气养血口服液, ,吉林
金水宝胶囊（片）, ,湖南
小儿热速清颗粒（口服液）, ,湖南
金莲清热泡腾片, ,湖南
跌打红药片, ,湖南
晕痛定片剂, ,湖南
脂必妥胶囊, ,湖南
晕痛定胶囊, ,湖南
银杏酮酯颗粒（片、胶囊、滴 丸）, ,湖南
生血康口服液, ,吉林
安神补脑软胶囊, ,吉林
克银丸, ,吉林
炎立消片(胶囊）, ,吉林
复方白头翁片, ,吉林
肾炎灵胶囊, ,吉林
热毒平颗粒, ,吉林
安络痛片, ,吉林
肝胆双清颗粒, ,吉林
舒肝宁注射液, ,吉林
葡萄糖酸钙锌, [口服液体剂],吉林
结合雌激素, [软膏剂],吉林
龟芪壮骨颗粒, ,吉林
金莲花口服液, ,吉林
草仙乙肝胶囊, ,吉林
益气补血片, ,吉林
复方熊胆乙肝胶囊, ,吉林
羚羊感冒片, ,吉林
清热利胆颗粒, ,吉林
复方熊胆清肝颗粒, ,吉林
维生素C, [丸剂],吉林
甘露聚糖肽, [注射剂],吉林
重组人干扰素α1b, [滴眼剂],吉林
养正合剂, ,吉林
甘霖洗剂, ,吉林
利鼻片, ,吉林
宫炎平滴丸, ,吉林
解郁安神颗粒（胶囊）, ,吉林
尿毒排析散, ,吉林
十味降糖颗粒, ,吉林
精芪双参胶囊, ,吉林
清胰利胆颗粒, ,吉林
固元颗粒, ,吉林
复方熊胆滴眼液, ,吉林
可明胶囊, ,吉林
益母草注射液, ,吉林
伤湿祛痛膏, ,吉林
通脉颗粒, ,吉林
归龙筋骨宁片, ,吉林
滑膜炎颗粒（片、胶囊）, ,吉林
麝香心脑通胶囊, ,吉林
心舒胶囊, ,吉林
颈腰康胶囊, ,吉林
理气舒心片, ,吉林
注射用丹参, ,吉林
注射用益气复脉（冻干）, ,吉林
骨炎灵片, ,吉林
苁蓉总苷胶囊, ,吉林
氧化樟脑, [注射剂],吉林
环磷腺苷葡胺, [注射剂],吉林
伸筋片, ,吉林
仙璐贝滴剂, ,吉林
心脉隆注射液, ,吉林
脑栓康复胶囊, ,吉林
冠心丸, ,吉林
参龙宁心胶囊, ,吉林
渴络欣胶囊, ,吉林
海昆肾喜胶囊, ,吉林
羟甲烟胺, [口服常释剂型],吉林
多糖铁复合物, [口服常释剂型],吉林
杞药消渴口服液, ,吉林
小青龙合剂, ,吉林
双百口服液, ,吉林
银黄含(化)片, ,吉林
颈痛灵药酒, ,吉林
脑心舒口服液, ,吉林
筋骨丸（胶囊）, ,吉林
藿香正气滴丸, ,吉林
返魂草颗粒, ,吉林
血宝胶囊, ,吉林
阿莫西林, [注射剂],吉林
加替沙星, [注射剂],吉林
六味地黄软胶囊, ,吉林
鹿胎膏, ,吉林
景志安神口服液, ,吉林
镇痛活络酊, ,吉林
补肾安神口服液, ,吉林
小儿感冒宁糖浆, ,吉林
肺宁颗粒(片、丸、口服液）, ,吉林
抗脑衰胶囊, ,吉林
头孢替唑, [注射剂],吉林
培氟沙星, [注射剂],吉林
庆大霉素碳酸铋, [口服常释剂型],吉林
转移因子, [口服液体剂],吉林
五维赖氨酸, [颗粒剂],吉林
胸腺五肽, [注射剂],吉林
参芪扶正丸, ,吉林
消糜栓, ,吉林
递法明片, ,吉林
猴头健胃灵胶囊、片, ,吉林
氨溴索葡萄糖, [注射剂],吉林
复方甘草酸单胺, [注射剂],吉林
脑苷肌肽, [注射剂],吉林
单唾液酸四己糖神经节苷脂, [注射剂],吉林
12种复合维生素, [注射剂],吉林
消炎止咳片, ,吉林
血脉清片, ,吉林
复方天仙胶囊, ,吉林
前列回春胶囊, ,吉林
清眩降压片, ,吉林
复方茶碱麻黄碱, [口服常释剂型],吉林
细辛脑, [注射剂],吉林
蝎毒, [注射剂],吉林
汉防己甲素, [口服常释剂型],吉林
多维元素, [口服常释剂型],吉林
柳栎浸膏, [口服常释剂型],吉林
复方硫酸亚铁叶酸, [口服常释剂型],吉林
人工牛黄甲硝唑, [口服常释剂型],吉林
地佐辛, [注射剂],吉林
头孢丙烯, [颗粒剂],吉林
右美托咪定, [注射剂],江西
转化糖电解质, [注射剂],江西
复方樟柳碱, [注射剂],吉林
伊班膦酸钠, [注射剂],吉林
二乙酰氨乙酸乙二胺, [注射剂],吉林
参芎葡萄糖, [注射剂],吉林
复方酮康唑, [软膏剂],吉林
复方氨酚苯海拉明, [口服常释剂型],吉林
英夫利西单抗, [注射剂],吉林
氟氯西林, [注射剂],吉林
单唾液酸四己糖神经节苷脂, [注射剂],江西
右旋糖酐铁, [口服常释剂型],江西
氧氟沙星, [阴道泡腾片],江西
厄他培南, [注射剂],江西
氟比洛芬, [巴布膏剂],江西
更昔洛韦, [滴眼剂],江西
头孢替唑, [注射剂],江西
头孢噻肟舒巴坦, [注射剂],江西
头孢甲肟, [注射剂],江西
氟尿嘧啶, [植入剂],江西
硝酸异山梨酯, [吸入剂],吉林
鸡胆, [口服液体剂],吉林
川芎嗪, [丸剂],江西
奥硝唑, [口服常释剂型],江西
复方骨肽, [注射液],江西
阿莫西林氟氯西林, [注射剂],江西
头孢哌酮他唑巴坦, [注射剂],江西
头孢丙烯, [颗粒剂],江西
小牛血清去蛋白, [注射剂],江西
斑蝥酸钠维生素B6, [注射剂],江西
腺苷蛋氨酸, [口服常释剂型],吉林
美司坦, [口服常释剂型],吉林
甘草酸单铵半胱氨酸氯化钠, [注射剂],吉林
卡介菌多糖核酸, [注射剂],吉林
转化糖电解质, [注射剂],吉林
头孢甲肟, [注射剂],吉林
尿多酸肽, [注射剂],吉林
小牛血去蛋白提取物, [注射剂],吉林
核糖核酸Ⅱ, [注射剂],吉林
消炎镇痛膏, ,吉林
养阴通秘胶囊, ,吉林
益中生血片, ,吉林
复方蛋氨酸胆碱, [口服常释剂型],吉林
厄他培南, [注射剂],吉林
喷昔洛韦, [注射剂],吉林
蕲蛇酶, [注射剂],吉林
复方苯巴比妥溴化钠, [口服常释剂型],吉林
