Med_Name,Med_Kind,Med_Plc
替罗非班氯化钠,血液和造血器官药 [注射剂],国家
阿替普酶,血液和造血器官药 [注射剂],国家
阿哌沙班,血液和造血器官药 [口服常释剂型],国家
氨甲苯酸氯化钠,血液和造血器官药 [注射剂],国家
甲萘氢醌,血液和造血器官药 [口服常释剂型],国家
维生素K1,血液和造血器官药 [注射剂],国家
酚磺乙胺,血液和造血器官药 [注射剂],国家
卡络磺钠,血液和造血器官药 [口服常释剂型],国家
重组人血小板生成素,血液和造血器官药 [注射剂],国家
富马酸亚铁,血液和造血器官药 [口服常释剂型;口服液体剂;颗粒剂;咀嚼片],国家
山梨醇铁,血液和造血器官药 [注射剂],国家
甲钴胺,血液和造血器官药 [口服常释剂型],国家
腺苷钴胺,血液和造血器官药 [口服常释剂型],国家
羟乙基淀粉(20、40)氯化钠,血液和造血器官药 [注射剂],国家
人凝血因子Ⅷ,血液和造血器官药 [注射剂],国家
白眉蛇毒血凝酶,血液和造血器官药 [注射剂],国家
聚桂醇,血液和造血器官药 [注射剂],国家
人凝血酶原复合物,血液和造血器官药 [注射剂],国家
琥珀酸亚铁,血液和造血器官药 [口服常释剂型],国家
琥珀酸亚铁,血液和造血器官药 [缓释控释剂型;颗粒剂],国家
叶酸,血液和造血器官药 [口服常释剂型],国家
利可君,血液和造血器官药 [口服常释剂型],国家
重组人促红素-β(CHO细胞),血液和造血器官药 [注射剂],国家
羟乙基淀粉(200/0.5)氯化钠,血液和造血器官药 [注射剂],国家
羟乙基淀粉(130/0.4)氯化钠,血液和造血器官药 [注射剂],国家
复方氨基酸(18AA-Ⅶ),血液和造血器官药 [注射剂],国家
小儿复方氨基酸(19AA-Ⅰ),血液和造血器官药 [注射剂],国家
结构脂肪乳(C6-24),血液和造血器官药 [注射剂],国家
葡萄糖氯化钠,血液和造血器官药 [注射剂],国家
灭菌注射用水,血液和造血器官药 [注射剂],国家
氯化钾,血液和造血器官药 [注射剂],国家
糜蛋白酶,血液和造血器官药 [注射剂],国家
去乙酰毛花苷,心血管系统 [注射剂],国家
奎尼丁,心血管系统 [口服常释剂型],国家
复方氨基酸(18AA-Ⅲ),血液和造血器官药 [注射剂],国家
复方氨基酸(6AA),血液和造血器官药 [注射剂],国家
中/长链脂肪乳(C8-24),血液和造血器官药 [注射剂],国家
复方氯化钠,血液和造血器官药 [注射剂],国家
乳酸钠林格,血液和造血器官药 [注射剂],国家
甘露醇,血液和造血器官药 [注射剂],国家
甘露醇,血液和造血器官药 [冲洗剂],国家
地高辛,心血管系统 [注射剂],国家
地高辛,心血管系统 [口服液体剂],国家
利多卡因,心血管系统 [注射剂],国家
硝苯地平,心血管系统 [口服常释剂型],国家
拉西地平,心血管系统 [口服常释剂型],国家
尼卡地平,心血管系统 [注射剂],国家
尼群洛尔,心血管系统 [口服常释剂型],国家
硝苯地平(Ⅰ),心血管系统 [缓释控释剂型],国家
维拉帕米,心血管系统 [口服常释剂型],国家
雷米普利,心血管系统 [口服常释剂型],国家
氨氯地平贝那普利Ⅰ,心血管系统 [口服常释剂型],国家
赖诺普利氢氯噻嗪,心血管系统 [口服常释剂型],国家
厄贝沙坦氢氯噻嗪,心血管系统 [口服常释剂型],国家
氨氯地平阿托伐他汀钙,心血管系统 [口服常释剂型],国家
尼卡地平,心血管系统 [口服常释剂型;缓释控释剂型],国家
尼莫地平,心血管系统 [注射剂],国家
西尼地平,心血管系统 [口服常释剂型],国家
硝苯地平(Ⅱ),心血管系统 [缓释控释剂型],国家
维拉帕米,心血管系统 [注射剂],国家
西拉普利,心血管系统 [口服常释剂型],国家
复方卡托普利,心血管系统 [口服常释剂型],国家
氯沙坦,心血管系统 [口服常释剂型],国家
氯沙坦氢氯噻嗪,心血管系统 [口服常释剂型],国家
肼屈嗪,心血管系统 [口服常释剂型],国家
氢氯噻嗪,心血管系统 [口服常释剂型],国家
布美他尼,心血管系统 [口服常释剂型],国家
氨苯蝶啶,心血管系统 [口服常释剂型],国家
尼麦角林,心血管系统 [口服常释剂型;缓释控释剂型],国家
烟酸肌醇酯,心血管系统 [口服常释剂型],国家
胰激肽原酶,心血管系统 [注射剂],国家
普萘洛尔,心血管系统 [注射剂],国家
美托洛尔,心血管系统 [口服常释剂型],国家
美托洛尔,心血管系统 [缓释控释剂型],国家
复方利血平氨苯蝶啶,心血管系统 [口服常释剂型],国家
呋塞米,心血管系统 [注射剂],国家
托拉塞米,心血管系统 [口服常释剂型],国家
酚苄明,心血管系统 [口服常释剂型],国家
妥拉唑啉,心血管系统 [注射剂],国家
胰激肽原酶,心血管系统 [口服常释剂型],国家
地奥司明,心血管系统 [口服常释剂型],国家
比索洛尔,心血管系统 [口服常释剂型],国家
艾司洛尔,心血管系统 [注射剂],国家
尼群地平,心血管系统 [口服常释剂型],国家
美西律,心血管系统 [口服常释剂型],国家
普罗帕酮,心血管系统 [口服常释剂型],国家
多巴胺,心血管系统 [注射剂],国家
间羟胺,心血管系统 [注射剂],国家
米力农氯化钠,心血管系统 [注射剂],国家
硝酸甘油,心血管系统 [口服常释剂型],国家
单硝酸异山梨酯,心血管系统 [口服常释剂型],国家
单硝酸异山梨酯(Ⅳ),心血管系统 [缓释控释剂型],国家
利血平,心血管系统 [口服常释剂型],国家
多沙唑嗪,心血管系统 [口服常释剂型;缓释控释剂型],国家
普鲁卡因胺,心血管系统 [注射剂],国家
莫雷西嗪,心血管系统 [口服常释剂型],国家
多巴酚丁胺,心血管系统 [注射剂],国家
米多君,心血管系统 [口服常释剂型],国家
左西孟旦,心血管系统 [注射剂],国家
硝酸异山梨酯,心血管系统 [注射剂],国家
单硝酸异山梨酯(Ⅲ),心血管系统 [缓释控释剂型],国家
曲美他嗪,心血管系统 [口服常释剂型;缓释控释剂型],国家
川芎嗪,心血管系统 [注射剂],国家
萘哌地尔,心血管系统 [口服常释剂型],国家
缬沙坦氨氯地平Ⅰ,心血管系统 [口服常释剂型],国家
氟伐他汀,心血管系统 [口服常释剂型;缓释控释剂型],国家
苯扎贝特,心血管系统 [口服常释剂型],国家
克霉唑,皮肤病用药 [软膏剂],国家
复方安息香酊,皮肤病用药 [外用液体剂],国家
甲紫,皮肤病用药 [外用液体剂],国家
尿素,皮肤病用药 [软膏剂],国家
重组牛碱性成纤维细胞生长因子,皮肤病用药 [外用冻干制剂],国家
阿维A,皮肤病用药 [口服常释剂型],国家
夫西地酸,皮肤病用药 [软膏剂],国家
缬沙坦氨氯地平Ⅱ,心血管系统 [口服常释剂型],国家
瑞舒伐他汀,心血管系统 [口服常释剂型],国家
非诺贝特(Ⅲ),心血管系统 [口服常释剂型],国家
水杨酸,皮肤病用药 [软膏剂],国家
环吡酮胺,皮肤病用药 [软膏剂],国家
联苯苄唑,皮肤病用药 [外用液体剂;软膏剂],国家
氧化锌,皮肤病用药 [软膏剂],国家
重组人表皮生长因子Ⅰ,皮肤病用药 [外用液体剂],国家
阿昔洛韦,皮肤病用药 [软膏剂],国家
氟尿嘧啶,皮肤病用药 [软膏剂],国家
环丙沙星,皮肤病用药 [凝胶剂],国家
四环素,皮肤病用药 [软膏剂],国家
倍氯米松,皮肤病用药 [软膏剂],国家
地塞米松,皮肤病用药 [软膏剂],国家
卤米松/三氯生,皮肤病用药 [软膏剂],国家
过氧化氢,皮肤病用药 [溶液剂],国家
红霉素,皮肤病用药 [软膏剂],国家
过氧苯甲酰,皮肤病用药 [软膏剂;凝胶剂],国家
多塞平,皮肤病用药 [乳膏剂],国家
甲硝维参,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家
金霉素,皮肤病用药 [软膏剂],国家
四环素醋酸可的松,皮肤病用药 [软膏剂],国家
丙酸氯倍他索,皮肤病用药 [软膏剂],国家
哈西奈德,皮肤病用药 [外用液体剂;软膏剂],国家
苯甲酸,皮肤病用药 [软膏剂],国家
诺氟沙星,皮肤病用药 [软膏剂],国家
维A酸,皮肤病用药 [软膏剂;凝胶剂],国家
鱼石脂,皮肤病用药 [软膏剂],国家
氢醌,皮肤病用药 [软膏剂],国家
甲硝唑,泌尿生殖系统药和性激素 [凝胶剂],国家
替硝唑,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家
硝呋太尔,泌尿生殖系统药和性激素 [阴道片],国家
米索前列醇,泌尿生殖系统药和性激素 [口服常释剂型],国家
卡前列甲酯,泌尿生殖系统药和性激素 [栓剂],国家
普拉睾酮,泌尿生殖系统药和性激素 [注射剂],国家
雌二醇,泌尿生殖系统药和性激素 [凝胶剂],国家
戊酸雌二醇,泌尿生殖系统药和性激素 [口服常释剂型],国家
地屈孕酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
黄体酮,泌尿生殖系统药和性激素 [栓剂],国家
炔诺酮,泌尿生殖系统药和性激素 [口服常释剂型;丸剂],国家
硝呋太尔,泌尿生殖系统药和性激素 [口服常释剂型],国家
硝呋太尔制霉素,泌尿生殖系统药和性激素 [阴道软胶囊;栓剂],国家
依沙吖啶,泌尿生殖系统药和性激素 [注射剂],国家
己酸羟孕酮,泌尿生殖系统药和性激素 [注射剂],国家
十一酸睾酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
尼尔雌醇,泌尿生殖系统药和性激素 [口服常释剂型],国家
黄体酮,泌尿生殖系统药和性激素 [注射剂],国家
黄体酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
甲羟孕酮,泌尿生殖系统药和性激素 [注射剂],国家
烯丙雌醇,泌尿生殖系统药和性激素 [口服常释剂型],国家
头孢氨苄,全身用抗感染药 [口服常释剂型;颗粒剂],国家
头孢羟氨苄,全身用抗感染药 [口服常释剂型;颗粒剂],国家
头孢呋辛酯,全身用抗感染药 [口服液体剂;颗粒剂],国家
头孢克洛Ⅱ,全身用抗感染药 [缓释控释剂型],国家
头孢唑肟,全身用抗感染药 [注射剂],国家
氨曲南,全身用抗感染药 [注射剂],国家
磺胺嘧啶,全身用抗感染药 [口服常释剂型],国家
复方磺胺甲噁唑,全身用抗感染药 [口服常释剂型],国家
阿奇霉素,全身用抗感染药 [口服液体剂],国家
克林霉素,全身用抗感染药 [口服常释剂型],国家
头孢拉定,全身用抗感染药 [口服液体剂;颗粒剂],国家
头孢丙烯,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家
头孢克洛,全身用抗感染药 [口服常释剂型;缓释控释剂型;口服液体剂;颗粒剂],国家
头孢克肟,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家
头孢匹罗,全身用抗感染药 [注射剂],国家
厄他培南,全身用抗感染药 [注射剂],国家
磺胺多辛,全身用抗感染药 [口服常释剂型],国家
复方磺胺甲噁唑,全身用抗感染药 [注射剂],国家
琥乙红霉素,全身用抗感染药 [口服常释剂型;颗粒剂],国家
