消化系统药物 [口服常释剂型],国家
水杨酸,专科特殊用药物 [软膏剂],国家
复方水杨酸,专科特殊用药物 [外用液体剂],国家
倍氯米松,专科特殊用药物 [软膏剂],国家
卡泊三醇,专科特殊用药物 [外用液体剂],国家
氧化锌,专科特殊用药物 [软膏剂],国家
重组人表皮生长因子,专科特殊用药物 [凝胶剂;吸入剂;外用液体剂],国家
左氧氟沙星,专科特殊用药物 [滴眼剂],国家
左氧氟沙星,专科特殊用药物 [眼用凝胶],国家
氟康唑,专科特殊用药物 [滴眼剂],国家
溴莫尼定,专科特殊用药物 [滴眼剂],国家
鱼石脂,专科特殊用药物 [软膏剂],国家
氢化可的松,专科特殊用药物 [软膏剂],国家
氢醌,专科特殊用药物 [软膏剂],国家
卡泊三醇,专科特殊用药物 [软膏剂],国家
樟脑,专科特殊用药物 [软膏剂;外用液体剂;醑剂],国家
四环素醋酸可的松,专科特殊用药物 [软膏剂],国家
那他霉素,专科特殊用药物 [滴眼剂],国家
利巴韦林,专科特殊用药物 [滴眼剂],国家
毛果芸香碱,专科特殊用药物 [滴眼剂],国家
酮替芬,专科特殊用药物 [吸入剂],国家
西吡氯铵,专科特殊用药物 [外用液体剂],国家
卡前列甲酯,专科特殊用药物 [栓剂],国家
咪康唑,专科特殊用药物 [阴道泡腾片;阴道片;阴道软胶囊],国家
更年安丸（胶囊）,妇科用药 ,国家
乌鸡白凤颗粒（口服液）,妇科用药 ,国家
乳宁丸（颗粒）,妇科用药 ,国家
明目上清片,眼科用药 ,国家
板蓝根滴眼液,眼科用药 ,国家
金花明目丸,眼科用药 ,国家
通窍耳聋丸,耳鼻喉科用药 ,国家
垂体后叶,专科特殊用药物 [注射剂],国家
米索前列醇,专科特殊用药物 [口服常释剂型],国家
产复康颗粒,妇科用药 ,国家
女珍颗粒,妇科用药 ,国家
乳康丸（颗粒、胶囊、片）,妇科用药 ,国家
岩鹿乳康胶囊（片）,妇科用药 ,国家
八宝眼药,眼科用药 ,国家
消朦眼膏,眼科用药 ,国家
丹红化瘀口服液,眼科用药 ,国家
左布诺洛尔,专科特殊用药物 [滴眼剂],国家
贝美前列素,专科特殊用药物 [滴眼剂],国家
托吡卡胺,专科特殊用药物 [滴眼剂],国家
东莨菪碱,专科特殊用药物 [眼膏剂],国家
羟苯磺酸,专科特殊用药物 [口服常释剂型],国家
小牛血去蛋白提取物,专科特殊用药物 [眼用凝胶],国家
吲哚菁绿,专科特殊用药物 [注射剂],国家
重组人表皮生长因子,专科特殊用药物 [滴眼剂],国家
复方醋酸曲安奈德,专科特殊用药物 [滴耳剂],国家
糜蛋白酶,专科特殊用药物 [注射剂],国家
赛洛唑啉,专科特殊用药物 [滴鼻剂],国家
拉坦前列素,专科特殊用药物 [滴眼剂],国家
倍他洛尔,专科特殊用药物 [滴眼剂],国家
地塞米松,专科特殊用药物 [滴眼剂],国家
色甘酸钠,专科特殊用药物 [滴眼剂],国家
依美斯汀,专科特殊用药物 [滴眼剂],国家
重组人(牛)碱性成纤维细胞生长因子,专科特殊用药物 [滴眼剂],国家
氮䓬斯汀,专科特殊用药物 [吸入剂],国家
复方诺氟沙星,专科特殊用药物 [滴鼻剂],国家
羟甲唑啉,专科特殊用药物 [滴鼻剂;吸入剂],国家
藿胆丸（片、滴丸）,耳鼻喉科用药 ,国家
鼻窦炎口服液,耳鼻喉科用药 ,国家
通窍鼻炎颗粒（胶囊、片）,耳鼻喉科用药 ,国家
辛芩片,耳鼻喉科用药 ,国家
清喉咽颗粒,耳鼻喉科用药 ,国家
速效牙痛宁酊,耳鼻喉科用药 ,国家
口炎清颗粒,耳鼻喉科用药 ,国家
云南白药（胶囊、片）,骨伤科用药 ,国家
伤科灵喷雾剂,骨伤科用药 ,国家
活血止痛散（胶囊、片）,骨伤科用药 ,国家
颈复康颗粒,骨伤科用药 ,国家
鼻炎片,耳鼻喉科用药 ,国家
香菊胶囊（片）,耳鼻喉科用药 ,国家
金嗓散结丸（颗粒）,耳鼻喉科用药 ,国家
清咽滴丸,耳鼻喉科用药 ,国家
脱牙敏糊剂,耳鼻喉科用药 ,国家
伤科接骨片,骨伤科用药 ,国家
云南白药膏（酊、气雾剂）,骨伤科用药 ,国家
肿痛气雾剂,骨伤科用药 ,国家
颈舒颗粒,骨伤科用药 ,国家
寒喘祖帕颗粒,民族药 ,国家
流感丸,民族药 ,国家
暖宫七味丸（散）,民族药 ,国家
清热八味丸（散、胶囊）,民族药 ,国家
肉蔻五味丸,民族药 ,国家
西帕依固龈液,民族药 ,国家
珍宝丸,民族药 ,国家
氨酚美伪,解热镇痛及非甾体抗炎药物 [滴剂],国家
氨酚伪麻,解热镇痛及非甾体抗炎药物 [咀嚼片],国家
氨酚伪麻那敏,解热镇痛及非甾体抗炎药物 [咀嚼片],国家
氨酚伪麻那敏,解热镇痛及非甾体抗炎药物 [口服液],国家
六味安消散（胶囊、片）,民族药 ,国家
清感九味丸,民族药 ,国家
清心沉香八味丸（散）,民族药 ,国家
通滞苏润江胶囊（片）,民族药 ,国家
