消化系统药物 [口服常释剂型],国家
金胆片,外科用药 ,国家
季德胜蛇药片,外科用药 ,国家
拔毒生肌散,外科用药 ,国家
虎黄烧伤搽剂,外科用药 ,国家
九一散,外科用药 ,国家
龙珠软膏,外科用药 ,国家
生肌玉红膏,外科用药 ,国家
外用紫金锭,外科用药 ,国家
胆石利通胶囊（片）,外科用药 ,国家
复方胆通胶囊（片）,外科用药 ,国家
利胆排石散（颗粒）,外科用药 ,国家
锡类散,外科用药 ,国家
蟾酥锭,外科用药 ,国家
解毒生肌膏,外科用药 ,国家
连柏烧伤膏,外科用药 ,国家
三黄膏,外科用药 ,国家
烫疮油,外科用药 ,国家
调经活血胶囊（片）,妇科用药 ,国家
坤复康胶囊（片）,妇科用药 ,国家
白带丸,妇科用药 ,国家
盆炎净颗粒（胶囊、片）,妇科用药 ,国家
宫颈炎康栓,妇科用药 ,国家
艾附暖宫丸,妇科用药 ,国家
蹄甲多肽, [口服常释剂型],北京
酞丁安, [软膏剂],北京
复方电解质葡萄糖MG3, [注射剂],北京
氨溶液, [外用液体剂],北京
冻疮膏, [软膏剂],北京
宫血宁胶囊,妇科用药 ,国家
康妇炎胶囊,妇科用药 ,国家
保妇康栓,妇科用药 ,国家
康妇消炎栓,妇科用药 ,国家
氢化可的松新霉素, [滴耳剂],北京
酞丁安, [外用液体剂],北京
复方乳酸钠山梨醇, [注射剂],北京
复方新霉素, [软膏剂],北京
氨碘肽, [滴眼剂],北京
痔血丸,外科用药 ,国家
创灼膏,外科用药 ,国家
痔疮胶囊（片）,外科用药 ,国家
尿石通丸,外科用药 ,国家
代温灸膏,外科用药 ,国家
西黄丸（胶囊）,外科用药 ,国家
华蟾素注射液,肿瘤用药 ,国家
康莱特软胶囊,肿瘤用药 ,国家
参丹散结胶囊,肿瘤用药 ,国家
猪苓多糖注射液,肿瘤用药 ,国家
丹莪妇康煎膏,妇科用药 ,国家
消痔软膏（栓）,外科用药 ,国家
痔疮栓,外科用药 ,国家
肾石通丸（颗粒、片）,外科用药 ,国家
复方夏枯草膏,外科用药 ,国家
阳和解凝膏,外科用药 ,国家
肝复乐胶囊（片）,肿瘤用药 ,国家
安康欣胶囊,肿瘤用药 ,国家
贞芪扶正颗粒（胶囊、片）,肿瘤用药 ,国家
益母草（含鲜益母草）膏（颗粒、胶囊、片）,妇科用药 ,国家
氟比洛芬, [巴布膏剂],北京
戊酸雌二醇/雌二醇环丙孕酮, [口服常释剂型],北京
依替膦酸二钠, [口服常释剂型],北京
碘甘油, [外用液体剂],北京
复方氯己定, [外用液体剂],北京
奥美沙坦酯, [口服常释剂型],北京
甘磷酰芥, [口服常释剂型],北京
核糖核酸[Ⅰ、Ⅱ、Ⅲ], [注射剂],北京
培氟沙星, [注射剂],北京
麦迪霉素, [口服常释剂型],北京
多烯酸乙酯, [口服常释剂型],北京
铜绿假单胞菌, [注射剂],北京
氯雷伪麻, [缓释控释剂型],北京
聚维酮碘, [外用液体剂],北京
氯己定, [外用散剂],北京
维生素E烟酸酯, [口服常释剂型],北京
去甲斑蝥素, [口服常释剂型],北京
尿嘧啶替加氟, [口服常释剂型],北京
对氨基水杨酸异烟肼, [口服常释剂型],北京
阿糖腺苷, [注射剂],北京
麝香壮骨膏, ,北京
麻姜胶囊, ,北京
健骨生丸, ,北京
滴通鼻炎水, ,北京
清心明目上清丸, ,北京
伤湿祛痛膏, ,北京
北豆根片, ,北京
鸡骨草胶囊, ,北京
熊胆胶囊, ,北京
灭澳灵片, ,北京
感冒灵片, ,北京
蛲虫药膏, ,北京
明目羊肝丸, ,北京
马应龙八宝眼粉, ,北京
回生第一丹[指散剂], ,北京
甘露解热口服液, ,北京
黄栀花口服液, ,北京
加味香连丸, ,北京
肝炎灵注射剂, ,北京
清胃黄连丸, ,北京
氨力农, [注射剂],北京
丙戊酰胺, [口服常释剂型],北京
曲吡那敏, [口服常释剂型],北京
生肌散, ,北京
通经甘露丸, ,北京
调经丸, ,北京
复方枣仁胶囊, ,北京
渴乐宁胶囊, ,北京
金薯叶止血合剂, ,北京
四消丸, ,北京
金不换膏, ,北京
一叶萩碱, [注射剂],北京
复方芦丁, [口服常释剂型],北京
宫炎康颗粒, ,北京
复方益母草膏, ,北京
活胃散, ,北京
四红丹, ,北京
心神宁片, ,北京
舒肝和胃丸, ,北京
沉香舒气丸, ,北京
小儿感冒宁糖浆, ,北京
至圣保元丸, ,北京
牛黄清热散, ,北京
猴菇片(猴菇菌片), ,北京
人参保肺丸, ,北京
幼泻宁颗粒, ,北京
莫西沙星, [口服常释剂型],北京
罗格列酮, [口服常释剂型],北京
复方异丙托溴铵（异丙托溴铵沙丁胺醇）, [吸入剂],北京
地衣芽胞杆菌活菌制剂, [口服常释剂型],北京
双歧杆菌活菌制剂, [口服常释剂型],北京
康氏牛黄解毒丸(片), ,北京
滋阴润肠口服液, ,北京
归芍地黄丸, ,北京
竹沥合剂(鲜竹沥), ,北京
藏青果颗粒, ,北京
莫西沙星, [注射剂],北京
多索茶碱, [口服常释剂型],北京
甘草酸二铵, [注射剂],北京
枯草杆菌、肠球菌二联活菌, [口服常释剂型],北京
双歧三联活菌, [口服散剂],北京
厄贝沙坦, [口服常释剂型],北京
坎地沙坦, [口服常释剂型],北京
卡泊三醇, [软膏剂],北京
阿托伐他汀, [口服常释剂型],北京
洛伐他汀, [口服常释剂型],北京
丹红注射剂, ,北京
脉络通颗粒(片、胶囊), ,北京
参莲胶囊, ,北京
复方红豆杉胶囊, ,北京
榄香烯口服液体剂, ,北京
厄贝沙坦, [缓释控释剂型],北京
琥珀酰明胶, [注射剂],北京
冻干人凝血酶原复合物, [注射剂],北京
氟伐他汀, [口服常释剂型],北京
辛伐他汀, [滴丸剂],北京
黄根片, ,北京
五福化毒丸, ,北京
得力生注射剂, ,北京
肝复乐片（胶囊）, ,北京
复方氯己定, [贴剂],北京
氯己定, [外用液体剂],北京
复合辅酶, [注射剂],北京
非索非那定, [口服常释剂型],北京
胸腺五肽, [注射剂],北京
甲苯磺丁脲, [口服常释剂型],北京
抗肿瘤免疫核糖核酸, [注射剂],北京
靛玉红, [口服常释剂型],北京
酚氨咖敏, [颗粒剂],北京
汉防己甲素, [口服常释剂型],北京
美辛唑酮, [栓剂],北京
桉柠蒎, [口服常释剂型],北京
头孢尼西, [注射剂],北京
核酪, [注射剂],北京
聚肌胞, [注射剂],北京
核酪, [口服液体剂],北京
阿克拉霉素, [注射剂],北京
醋酸甲羟孕酮复合胶囊, [口服常释剂型],北京
复方氨基比林(复方氨林巴比妥), [注射剂],北京
复方次没食子酸铋, [栓剂],北京
双肼屈嗪, [口服常释剂型],北京
藻酸双酯钠, [口服常释剂型],北京
复方肝浸膏, [口服常释剂型],北京
胃蛋白酶, [口服液体剂],北京
烧伤止痛药膏, ,北京
清眩丸(片), ,北京
化痔栓, ,北京
荣心丸, ,北京
治伤胶囊, ,北京
根痛平片(颗粒), ,北京
珍珠生肌散, ,北京
洋地黄毒苷, [口服常释剂型],北京
三唑仑, [口服常释剂型],北京
健步强身丸, ,北京
醒消丸, ,北京
偏瘫复原丸, ,北京
散结灵胶囊, ,北京
降糖舒胶囊, ,北京
跌打镇痛膏, ,北京
紫花烧伤膏, ,北京
鸦胆子油口服乳液（软胶囊）, ,北京
健脾益肾颗粒, ,北京
宁心宝胶囊, ,北京
益血生胶囊, ,北京
猪苓多糖注射剂, ,北京
转移因子, [注射剂],北京
吡嘧司特钾, [滴眼剂],北京
水杨酸苯酚, [贴剂],北京
玻璃酸酶, [注射剂],北京
磺达肝癸钠, [注射剂],北京
脱氧核苷酸, [注射剂],北京
安多霖胶囊, ,北京
螺旋藻胶囊(片), ,北京
贞芪扶正胶囊(颗粒、片), ,北京
复方樟柳碱, [注射剂],北京
利多卡因氯化钠, [注射剂],北京
丁香罗勒油, [软膏剂],北京
小檗胺, [口服常释剂型],北京
双氯非那胺, [口服常释剂型],北京
厄他培南, [注射剂],北京
重楼解毒酊, ,北京
活血消炎丸, ,北京
复方续断接骨丸, ,北京
喉症丸, ,北京
退热清咽颗粒, ,北京
感冒退热颗粒, ,北京
抗感灵片, ,北京
锁阳固精丸, ,北京
牛黄清宫丸, ,北京
牛黄清心丸(片), ,北京
热炎宁颗粒, ,北京
熊胆丸, ,北京
伤湿止痛膏, ,北京
儿童清咽解热口服液, ,北京
藿香祛暑软胶囊, ,北京
柴黄清热颗粒, ,北京
功劳去火片, ,北京
泻痢固肠丸(片), ,北京
牛黄宁宫片, ,北京
儿童清肺口服液, ,北京
儿童咳液, ,北京
双丹明目胶囊, ,北京
参贝咳喘丸, ,北京
止嗽定喘丸(口服液), ,北京
白消安, [注射剂],北京
桂哌齐特, [注射剂],北京
扎鲁司特, [口服常释剂型],北京
双歧三联活菌, [口服常释剂型],北京
辅酶A, [注射剂],北京
前列地尔, [注射剂],北京
米非司酮, [口服常释剂型],北京
除痰止嗽丸, ,北京
京制咳嗽痰喘丸, ,北京
芬太尼, [贴剂],北京
法舒地尔, [注射剂],北京
多索茶碱, [注射剂],北京
多潘立酮, [栓剂],北京
氯沙坦钾, [口服常释剂型],北京
三磷酸腺苷, [注射剂],北京
羟乙基淀粉, [注射剂],北京
重组人红细胞生成素（重组人促红素）, [注射剂],北京
[重组]人粒细胞巨噬细胞集落刺激因子, [注射剂],北京
稳心颗粒(胶囊、片）, ,北京
参芪十一味颗粒（胶囊）、十一味参芪片, ,北京
艾迪注射剂, ,北京
复方斑蝥胶囊, ,北京
百令胶囊（片）, ,北京
至灵胶囊, ,北京
萘甲唑啉, [滴鼻剂],北京
碘酊, [酊剂],北京
复方阿米洛利, [口服常释剂型],北京
瑞舒伐他汀, [口服常释剂型],北京
醒脑静注射剂, ,北京
复方阿胶浆, ,北京
安替可胶囊, ,北京
虫草菌发酵制剂, ,北京
金水宝胶囊（片）, ,北京
黄芪注射剂, ,北京
维生素E, [口服常释剂型],北京
复方氯解磷定, [注射剂],北京
复方甘草酸单铵, [注射剂],北京
穿琥宁, [注射剂],北京
西甲硅油, [乳剂],北京
特非那定, [口服常释剂型],北京
阿司咪唑, [口服常释剂型],北京
乳酸菌素, [口服常释剂型],北京
肥儿丸, ,北京
乳核内消液, ,北京
八宝坤顺丸, ,北京
安神健脑液, ,北京
加味保和丸, ,北京
维酶素, [口服常释剂型],北京
胱氨酸, [口服常释剂型],北京
曲吡那敏, [注射剂],北京
芦丁, [口服常释剂型],北京
阿托品异丙嗪, [注射剂],北京
医痫丸, ,北京
坤宝丸, ,北京
九味镇心颗粒, ,北京
九气拈痛丸, ,北京
乳酸钠葡萄糖, [注射剂],北京
吡诺克辛, [滴眼剂],北京
枯草杆菌活菌制剂, [口服常释剂型],北京
兔抗人胸腺细胞免疫球蛋白, [注射剂],北京
蛹油a-亚麻酸乙酯, [口服常释剂型],北京
聚维酮碘, [凝胶剂],北京
苯乙双胍, [口服常释剂型],北京
交沙霉素, [口服常释剂型],北京
维D2果糖酸钙, [注射剂],北京
酚氨咖敏, [口服常释剂型],北京
复方蛋氨酸胆碱, [口服常释剂型],北京
氯霉素玻璃酸钠, [滴眼剂],北京
炔雌醇环丙孕酮, [口服常释剂型],北京
巴利昔单抗, [注射剂],北京
乙酰谷酰胺, [注射剂],北京
匹伐他汀, [口服常释剂型],北京
甲硝唑维B6, [口服常释剂型],北京
环酯红霉素, [口服常释剂型],北京
葡萄糖酸锌, [口服常释剂型],北京
羟甲烟胺, [口服常释剂型],北京
冠心安口服液, ,北京
心灵丸, ,北京
寒痛乐熨剂, ,北京
肾骨胶囊, ,北京
无极膏, ,北京
千山活血膏, ,北京
磁朱丸, ,北京
铁笛丸(口服液), ,北京
小儿退热口服液, ,北京
赛金化毒散, ,北京
胆乐片(胶囊), ,北京
解郁安神颗粒, ,北京
正骨紫金丸, ,北京
防参止痒颗粒, ,北京
皮肤病血毒丸, ,北京
辛芳鼻炎胶囊, ,北京
咽速康气雾剂, ,北京
蜂胶口腔膜, ,北京
周氏回生丸, ,北京
复方大青叶合剂, ,北京
复方鱼腥草颗粒, ,北京
鸡骨草肝炎颗粒, ,北京
羚翘解毒丸(片、颗粒), ,北京
栀子金花丸, ,北京
久芝清心丸, ,北京
肠泰合剂, ,北京
当归丸, ,北京
五子衍宗丸(口服液), ,北京
十全大补丸, ,北京
生血丸, ,北京
复方鲜竹沥液, ,北京
感冒胶囊, ,北京
羚羊感冒片, ,北京
复方芦荟胶囊, ,北京
复方羊角颗粒, ,北京
洋参保肺丸, ,北京
强肾片, ,北京
愈三消胶囊, ,北京
河车大造丸(胶囊), ,北京
慢肾宝合剂, ,北京
眼氨肽, [滴眼剂],上海
洛度沙胺, [滴眼剂],上海
双分伪麻/美扑伪麻片, [片剂],上海
樟脑薄荷柳酯(必舒膏), [软膏剂],上海
水杨酸苯酚, [贴剂],上海
曲安奈德新霉素, [贴剂],上海
愈创蓝油烃, [软膏剂],上海
复方水杨酸甲酯苯海拉明, [喷雾剂],上海
丁丙诺啡, [注射剂],上海
依托芬那酯, [软膏剂],上海
活性钙, [口服常释剂型],上海
天花粉, [注射剂],上海
复方氨肽素, [口服常释剂型],上海
硝酸咪康唑, [外用散剂],上海
复方次没食子酸铋, [栓剂],上海
重组牛碱性成纤维细胞生长因子, [喷雾剂],上海
吲哚美辛呋喃唑酮, [栓剂],上海
美辛唑酮红古豆醇酯, [栓剂],上海
酚氨咖敏（克感敏）, [口服常释剂型],上海
β-胡萝卜素, [口服常释剂型],上海
复方羊角颗粒, ,上海
一捻金[指:散剂], ,上海
伤痛酊, ,上海
芪麝丸, ,上海
蟹黄肤宁软膏, ,上海
滴通鼻炎水, ,上海
百蕊片, ,上海
妇科养荣丸, ,上海
乌鸡丸, ,上海
宝珍膏, ,上海
清喉利咽颗粒, ,上海
野木瓜注射液, ,上海
辣椒风湿膏药, ,上海
独一味软胶囊, ,上海
白癜风胶囊, ,上海
鼻通滴鼻剂, ,上海
母乳多颗粒, ,上海
龙荟丸, ,上海
复方草珊瑚含片, ,上海
伤湿止痛膏, ,上海
维生素AD, [口服液体剂],上海
呋喃硫胺, [口服常释剂型],上海
培氟沙星, [注射剂],上海
卡那霉素, [注射剂],上海
加替沙星, [口服常释剂型],上海
左旋咪唑, [口服常释剂型],上海
去羟肌苷, [口服常释剂型],上海
天麻素, [注射液],上海
三唑仑, [口服常释剂型],上海
特非那定, [口服常释剂型],上海
核酪, [糖浆剂],上海
头孢哌酮, [注射剂],上海
乙酰麦迪霉素, [颗粒剂],上海
加替沙星, [注射剂],上海
阿西美辛, [缓释控释剂型],上海
贝诺酯, [口服常释剂型],上海
乌洛托品, [口服常释剂型],上海
匹莫林, [口服常释剂型],上海
粉尘螨, [注射剂],上海
安钠咖, [注射剂],上海
细辛脑, [口服常释剂型],上海
复方倍他米松, [注射剂],上海
依普黄酮, [口服常释剂型],上海
靛玉红, [口服常释剂型],上海
卡介菌多糖核酸, [注射剂],上海
醒消丸, ,上海
柘木糖浆, ,上海
舒康凝胶剂, ,上海
四制香附丸, ,上海
益母草(含鲜益母草)胶囊, ,上海
丹灯通脑软胶囊, ,上海
复方氨基酸(18AA-N), [注射剂],上海
维胺酯, [口服常释剂型],上海
注射用培美曲塞二钠, [冻干粉针],上海
重组人II型肿瘤坏死因子受体－抗体融合蛋白, [注射剂],上海
枫苓合剂, ,上海
"""洁尔阴""泡腾片", ,上海
肤阴洁, ,上海
经带宁胶囊, ,上海
脉血康片, ,上海
十香定痛丸, ,北京
宝咳宁颗粒, ,北京
羚羊清肺丸(散), ,北京
阿莫西林克拉维酸, [注射剂],北京
降钙素, [注射剂],北京
替尼泊苷, [注射剂],北京
溴米因, [注射剂],北京
替米沙坦, [口服常释剂型],北京
米索前列醇, [口服常释剂型],北京
人纤维蛋白原, [注射剂],北京
局方至宝丸, ,北京
小儿肺热咳喘口服液, ,北京
金果饮, ,北京
吡格列酮, [口服常释剂型],北京
长春碱, [注射剂],北京
福莫特罗, [吸入剂],北京
奥曲肽[8肽], [注射剂],北京
缬沙坦, [口服常释剂型],北京
[重组]人粒细胞集落刺激因子, [注射剂],北京
普伐他汀, [口服常释剂型],北京
生血宝颗粒（合剂）, ,北京
金龙胶囊, ,北京
消癌平注射剂, ,北京
紫龙金片, ,北京
比沙可啶, [口服常释剂型],上海
甘草甜素, [口服常释剂型],上海
气管炎菌苗, [注射剂],上海
缓解消化道不适症状的复方OTC制剂, ,上海
氯沙坦钾氢氯噻嗪, [口服常释剂型],上海
甲地高辛, [口服常释剂型],上海
复方硼砂漱口, [口服常释剂型],上海
华蟾素片（胶囊）, ,北京
鸦胆子油乳注射剂, ,北京
复方皂矾丸, ,北京
肝炎灵, [注射剂],上海
枸橼酸铋雷尼替丁, [口服常释剂型],上海
溴米因, [注射剂],上海
复方硫酸双肼屈嗪, [口服常释剂型],上海
莫索尼定, [口服常释剂型],上海
复方硝酸咪康唑, [软膏剂],上海
十滴水软胶囊, ,上海
藿香正气滴丸, ,上海
午时茶颗粒, ,上海
舒秘胶囊, ,上海
桑麻丸, ,上海
当归丸, ,上海
复方五味子糖浆, ,上海
珍合灵片, ,上海
百合固金口服液, ,上海
安宫牛黄胶囊, ,上海
百咳静糖浆, ,上海
羚羊感冒片, ,上海
板蓝根茶, ,上海
玉枢丹, ,上海
补肾强身胶囊, ,上海
四物合剂, ,上海
荣心丸, ,上海
强肝液, ,上海
川贝枇杷糖浆, ,上海
鲜竹沥(淡竹沥), ,上海
铋镁碳酸氢钠片, [片剂],上海
复方甘草麻黄碱片, [片剂],上海
抗淋巴细胞球蛋白, [注射剂],上海
复方地塞米松, [软膏剂],上海
水杨酸苯酚, [软膏剂],上海
复方维A酸凝胶, [凝胶剂],上海
核酪, [注射剂],上海
普鲁卡因肾上腺素, [注射剂],上海
酮洛芬, [口服常释剂型],上海
呋喃硫胺, [注射剂],上海
帕珠沙星, [注射剂],上海
抗乙型肝炎免疫球蛋白, [注射剂],上海
复方曲安奈德, [软膏剂],上海
林可霉素利多卡因, [凝胶剂],上海
强力碘, [溶液剂],上海
积雪苷, [口服常释剂型],上海
阿片酊, [口服液体剂],上海
卡巴胆碱, [注射剂],上海
感冒灵, [口服常释剂型],上海
复方芦丁, [口服常释剂型],上海
依诺沙星, [口服常释剂型],上海
灰黄霉素, [口服常释剂型],上海
利托那韦, [口服常释剂型],上海
氟西泮, [口服常释剂型],上海
舍雷肽酶, [口服常释剂型],上海
复方长效氨茶碱, [口服常释剂型],上海
阿桔片, [口服常释剂型],上海
敌咳, [糖浆剂],上海
三磷酸腺苷辅酶胰岛素, [注射剂],上海
甲苯磺丁脲, [口服常释剂型],上海
阿司咪唑, [口服常释剂型],上海
双氯芬酸〔钠盐、二乙胺盐〕, [凝胶剂],上海
阿糖腺苷, [注射剂],上海
组织胺人免疫球蛋白, [注射剂],上海
复方氯喘, [口服常释剂型],上海
愈美甲麻敏, [糖浆剂],上海
信宁咳, [糖浆剂],上海
复方八维甲睾酮, [口服常释剂型],上海
苯乙双胍, [口服常释剂型],上海
"复方氨基酸[18F,18(18AA- Ⅱ),18B]", [注射剂],上海
羚贝止咳糖浆, ,上海
四君子合剂, ,上海
肠泰合剂, ,上海
福多司坦, [口服常释剂型（片剂、胶囊剂）],上海
多酶片, [口服常释剂型],上海
多烯酸乙酯, [口服常释剂型],上海
氨力农, [注射剂],上海
复方卡托普利, [口服常释剂型],上海
西地碘, [口服常释剂型],上海
复方桔梗麻黄碱糖浆, [糖浆剂],上海
复方甘铋镁片, [片剂],上海
猴头菌片, ,上海
党参养荣丸, ,上海
福多司坦, [颗粒剂],上海
酪酸梭菌活菌, [口服常释剂型],上海
阿普林定, [口服常释剂型],上海
奥美沙坦酯片, [片剂],上海
薄荷桉油含片Ⅱ, [口服常释剂型],上海
酞丁胺, [滴眼剂],上海
复方麻黄碱糖浆, [糖浆剂],上海
胸腺肽, [注射剂],上海
转移因子, [注射剂],上海
痔血胶囊, ,上海
蟾乌巴布膏, ,上海
去腐生肌散, ,上海
保妇康泡沫剂, ,上海
沉香化气丸, ,上海
复方当归注射液, ,上海
正清风痛宁缓释片, ,上海
昆明山海棠片, ,上海
绞股蓝总苷分散片, ,上海
济生桔核丸(桔核丸), ,上海
痔宁片, ,上海
复方消痔栓, ,上海
六神软膏, ,上海
康妇灵胶囊, ,上海
山海丹颗粒, ,上海
丹香冠心注射液, ,上海
三妙丸, ,上海
京万红, ,上海
喉疾灵胶囊, ,上海
余麦口咽合剂, ,上海
胆清胶囊, ,上海
利肝康片, ,上海
合成鱼腥草素片, ,上海
复方岩白菜素片, ,上海
熊胆胶囊, ,上海
半夏糖浆, ,上海
小青龙口服液, ,上海
溃疡宁胶囊, ,上海
玉屏风口服液, ,上海
西瓜霜润喉片, ,上海
胆乐胶囊, ,上海
肝达片, ,上海
清热灵颗粒, ,上海
复方鱼腥草片, ,上海
桔贝半夏颗粒, ,上海
仲景胃灵片, ,上海
小青龙合剂, ,上海
戊己丸, ,上海
替米沙坦氢氯噻嗪胶囊, [胶囊剂],上海
厄贝沙坦氢氯噻嗪, [口服常释剂型],上海
富马酸酮替芬, [滴鼻剂],上海
氨肽碘, [滴眼剂],上海
吡诺克辛(白内停), [滴眼剂],上海
五肽胃泌素, [注射剂],上海
氯己定, [栓剂],上海
复方苯佐卡因, [软膏剂],上海
外用盐酸氨酮戊酸散, [散剂（外用）],上海
复方愈创蓝油烃, [软膏剂],上海
丁丙诺啡, [舌下片],上海
溶菌酶含片, [含片剂],上海
氨肽碘, [注射剂],上海
玻璃酸酶(透明质酸酶), [注射剂],上海
车前番泄复合颗粒, [颗粒剂],上海
重组人干扰素α－2b, [阴道泡腾胶囊],上海
复方克霉唑, [软膏剂],上海
硫磺软膏, [软膏剂],上海
外用冻干重组人酸性成纤维细胞生长因子, [粉针剂(外用)],上海
积雪苷, [软膏剂],上海
清热解毒软胶囊, ,上海
穿琥宁注射液, ,上海
小建中合剂, ,上海
熊胆丸, ,上海
脏连丸, ,上海
纯阳正气丸(暑湿正气丸), ,上海
行军散, ,上海
更衣胶囊, ,上海
麻仁软胶囊, ,上海
麦味地黄口服液, ,上海
生脉片(党参方), ,上海
唐草片, ,上海
水线和胃颗粒, ,上海
安中片, ,上海
银翘片, ,上海
荆银颗粒, ,上海
比拜克胶囊, ,上海
润肠丸, ,上海
河车大造胶囊, ,上海
首乌延寿片, ,上海
八正合剂, ,上海
桑麻口服液, ,上海
野木瓜片, ,上海
香桂活血膏, ,上海
清肾热十味散, ,上海
华佗膏, ,上海
千柏鼻炎片, ,上海
障翳散, ,上海
关节镇痛巴布膏, ,上海
丹郁骨康丸, ,上海
鸡骨草胶囊, ,上海
妇科白凤口服液, ,上海
通迪胶囊, ,上海
伤痛舒, ,上海
姜黄消痤搽剂, ,上海
冰连滴耳剂, ,上海
荔花鼻窦炎片, ,上海
马应龙八宝眼粉, ,上海
辣椒颠茄贴膏, ,上海
山海丹胶囊, ,上海
葡美辛, [口服常释剂型],上海
氯芬黄敏, [口服常释剂型],上海
维生素E, [口服常释剂型],上海
葡萄糖酸锌, [颗粒剂],上海
多维片(6), [口服常释剂型],上海
复方维生素, [注射剂],上海
小诺米星, [注射剂],上海
交沙霉素, [口服常释剂型],上海
复方氨基比林, [注射剂],上海
茚地那韦, [口服常释剂型],上海
醋谷胺, [注射剂],上海
汉防己甲素, [口服常释剂型],上海
葡萄糖酸锌, [口服常释剂型],上海
维D2果糖酸钙, [注射剂],上海
维生素AD, [口服常释剂型],上海
头孢噻吩, [注射剂],上海
多粘菌素, [口服常释剂型],上海
奥沙普嗪, [口服常释剂型],上海
溶菌酶, [口服常释剂型],上海
低分子右旋糖酐氨基酸, [注射剂],上海
厄多司坦, [口服常释剂型],上海
奥拉西坦, [口服常释剂型],上海
核酪, [口服溶液剂],上海
苯丙哌林, [口服常释剂型],上海
三合激素, [注射剂],上海
复方氨基酸(17AA-H), [注射剂],上海
脂肪乳[长链], [注射剂],上海
重组改构人肿瘤坏死因子, [注射剂],上海
氟尿苷, [注射剂],上海
痔疾洗液(痔疾宁), ,上海
黑虎散, ,上海
黄豆苷元, [口服常释剂型],上海
定喘止咳, [口服常释剂型],上海
依普拉酮, [口服常释剂型],上海
复方氨基酸(18AA-Ⅶ), [注射剂],上海
脂肪乳            [中链及长链复合剂], [注射剂],上海
曲吡那敏, [口服常释剂型],上海
重组干扰素γ, [注射剂],上海
榄香烯注射液, ,上海
红灵散, ,上海
补肾强身片, ,上海
云芝糖肽胶囊, ,上海
川贝止咳糖浆, ,上海
贝羚胶囊, ,上海
沙棘颗粒, ,上海
当归补血口服液, ,上海
参芪丸, ,上海
芪骨胶囊, ,上海
复方氨基酸（8－11）, [口服常释剂型],上海
复方甘草酸单铵, [注射剂],上海
常药降压片, [口服常释剂型],上海
复方补骨脂颗粒, ,上海
参贝北瓜膏, ,上海
蛇胆川贝软胶囊, ,上海
牛黄清心丸, ,上海
当归补血胶囊, ,上海
异维A酸红霉素, [凝胶剂],上海
转化糖电解质注射液, [注射剂],上海
葡甘聚糖, [口服常释剂型],上海
西沙必利, [口服常释剂型],上海
愈带丸, ,上海
复方清带灌注液, ,上海
参茜固经颗粒, ,上海
复方党参片, ,上海
癃开颗粒, ,上海
丹参滴注液, ,上海
复方丹参气雾剂, ,上海
滑膜炎胶囊, ,上海
陈香露(白露)片, ,上海
治伤胶囊, ,上海
安络痛片, ,上海
经前平颗粒, ,上海
妇平胶囊, ,上海
沉香曲, ,上海
复方活脑舒胶囊, ,上海
山海丹片, ,上海
元胡止痛软胶囊, ,上海
山麦健脾口服液, ,上海
保儿安颗粒, ,上海
冰栀伤痛气雾剂, ,上海
恒制咳喘胶囊, ,上海
补肾防喘片, ,上海
复方猴头颗粒, ,上海
清开灵软胶囊, ,上海
苏冰滴丸, ,上海
丹杞颗粒, ,上海
雷莫司琼, [注射剂],天津
细菌溶解产物, [口服常释剂型],天津
依卡倍特, [颗粒剂],天津
复方曲尼司特, [口服常释剂型],天津
奥拉西坦, [口服常释剂型],天津
复方鲜竹沥液, ,上海
神犀丹, ,上海
清开灵口服液, ,上海
猴枣牛黄散, ,上海
多酶, [口服常释剂型],天津
拉呋替丁, [口服常释剂型],天津
磷酸铝, [凝胶剂],天津
复合辅酶, [注射剂],天津
单唾液酸四己糖神经节苷脂, [注射剂],天津
氨酪酸, [口服常释剂型],天津
脑蛋白水解物, [注射剂],天津
聚维酮碘, [外用液体剂],天津
次水杨酸铋, [口服液体剂],天津
环扁桃酯, [口服常释剂型],天津
汉防己甲素, [口服常释剂型],天津
多糖铁复合物, [口服常释剂型],天津
炎琥宁, [注射剂],天津
丁丙诺啡, [口服常释剂型],天津
头孢他美, [口服液体剂],天津
萘夫西林, [口服常释剂型],天津
重组人干扰素α-2b, [凝胶剂],天津
聚维酮碘, [贴剂],天津
复方尿维氨, [滴眼剂],天津
磺达肝癸钠, [注射剂],天津
钠钾镁钙葡萄糖, [注射剂],天津
精氨酸阿司匹林, [注射剂],天津
复方氨基比林（安痛定）, [注射剂],天津
12种复合维生素, [注射剂],天津
头孢泊肟, [颗粒剂],天津
羚羊感冒胶囊, ,上海
感冒退热颗粒, ,上海
板蓝根注射液, ,上海
复方大青叶合剂, ,上海
良园枇杷叶膏, ,上海
健步丸, ,上海
清身饮颗粒, ,上海
当归注射液, ,上海
新血宝胶囊, ,上海
复方枣仁胶囊, ,上海
金刚丸, ,上海
北豆根片, ,上海
复方四季青片, ,上海
正气片, ,上海
六味地黄口服液, ,上海
首乌延寿颗粒, ,上海
十全大补丸, ,上海
血宁糖浆, ,上海
脑血栓片, ,上海
渴乐宁胶囊, ,上海
伸筋丹胶囊, ,上海
颈痛灵胶囊, ,上海
紫归治裂膏, ,上海
止血八味散, ,上海
仙黄颗粒, ,上海
