长春新碱,抗肿瘤药物 [注射剂],国家
长春瑞滨,抗肿瘤药物 [注射剂],国家
高三尖杉酯碱氯化钠,抗肿瘤药物 [注射剂],国家
依托泊苷,抗肿瘤药物 [口服常释剂型],国家
氯米芬,抗肿瘤药物 [口服常释剂型],国家
氨鲁米特,抗肿瘤药物 [口服常释剂型],国家
右丙亚胺,抗肿瘤药物 [注射剂],国家
甲氨蝶呤,抗肿瘤药物 [注射剂],国家
硫鸟嘌呤,抗肿瘤药物 [口服常释剂型],国家
盐酸米托蒽醌葡萄糖,抗肿瘤药物 [注射剂],国家
依托泊苷,抗肿瘤药物 [注射剂],国家
多西他赛,抗肿瘤药物 [注射剂],国家
替尼泊苷,抗肿瘤药物 [注射剂],国家
门冬酰胺酶,抗肿瘤药物 [注射剂],国家
托瑞米芬,抗肿瘤药物 [口服常释剂型],国家
亚叶酸钙,抗肿瘤药物 [口服常释剂型],国家
氯丙嗪,治疗精神障碍药物 [口服常释剂型],国家
氯氮平,治疗精神障碍药物 [口服常释剂型],国家
复方盐酸氯丙嗪,治疗精神障碍药物 [注射剂],国家
奥氮平,治疗精神障碍药物 [口服常释剂型],国家
五氟利多,治疗精神障碍药物 [口服常释剂型],国家
舒必利,治疗精神障碍药物 [注射剂],国家
阿普唑仑,治疗精神障碍药物 [口服常释剂型],国家
劳拉西泮,治疗精神障碍药物 [口服常释剂型],国家
羟嗪,治疗精神障碍药物 [口服常释剂型],国家
多塞平,治疗精神障碍药物 [口服常释剂型],国家
帕罗西汀,治疗精神障碍药物 [口服常释剂型],国家
氟奋乃静,治疗精神障碍药物 [口服常释剂型],国家
癸氟奋乃静,治疗精神障碍药物 [注射剂],国家
喹硫平,治疗精神障碍药物 [口服常释剂型],国家
氯普噻吨,治疗精神障碍药物 [口服常释剂型],国家
帕利哌酮,治疗精神障碍药物 [缓释控释剂型],国家
奥沙西泮,治疗精神障碍药物 [口服常释剂型],国家
咪达唑仑,治疗精神障碍药物 [口服常释剂型],国家
丙米嗪,治疗精神障碍药物 [口服常释剂型],国家
氟西汀,治疗精神障碍药物 [口服常释剂型],国家
米氮平,治疗精神障碍药物 [口服常释剂型],国家
碳酸锂,治疗精神障碍药物 [口服常释剂型],国家
溴己新,呼吸系统药物 [注射剂],国家
喷托维林,呼吸系统药物 [口服常释剂型],国家
氨茶碱,呼吸系统药物 [口服常释剂型;缓释控释剂型],国家
二羟丙茶碱,呼吸系统药物 [口服常释剂型],国家
福莫特罗,呼吸系统药物 [吸入剂],国家
沙丁胺醇,呼吸系统药物 [注射剂],国家
色甘酸钠,呼吸系统药物 [吸入剂],国家
硫糖铝,消化系统药物 [口服常释剂型;口服液体剂],国家
法莫替丁,消化系统药物 [口服常释剂型],国家
氨溴索,呼吸系统药物 [注射剂],国家
复方甘草制剂,呼吸系统药物 [口服常释剂型;口服液体剂],国家
可愈糖浆,呼吸系统药物 [口服液体剂],国家
多索茶碱,呼吸系统药物 [注射剂],国家
复方茶碱,呼吸系统药物 [口服常释剂型],国家
克仑特罗,呼吸系统药物 [栓剂],国家
