内科用药 ,国家
西黄丸,外科用药 ,国家
腰肾膏,外科用药 ,国家
小金片,外科用药 ,国家
平消片,肿瘤用药 ,国家
化癥回生口服液,肿瘤用药 ,国家
排石颗粒,外科用药 ,国家
金钱胆通颗粒,外科用药 ,国家
结石通胶囊,外科用药 ,国家
利胆排石片,外科用药 ,国家
五海瘿瘤丸,外科用药 ,国家
阳和解凝膏,外科用药 ,国家
西黄胶囊,外科用药 ,国家
小金胶囊,外科用药 ,国家
慈丹胶囊,肿瘤用药 ,国家
回生口服液,肿瘤用药 ,国家
鸦胆子油乳注射液,肿瘤用药 ,国家
紫龙金片,肿瘤用药 ,国家
肝复乐胶囊,肿瘤用药 ,国家
安康欣胶囊,肿瘤用药 ,国家
黄芪注射液,肿瘤用药 ,国家
螺旋藻片,肿瘤用药 ,国家
猪苓多糖注射液,肿瘤用药 ,国家
生白合剂,肿瘤用药 ,国家
复方益母片,妇科用药 ,国家
妇科调经胶囊,妇科用药 ,国家
鸦胆子油软胶囊,肿瘤用药 ,国家
平消胶囊,肿瘤用药 ,国家
消癌平颗粒,肿瘤用药 ,国家
参芪扶正注射液,肿瘤用药 ,国家
康艾注射液,肿瘤用药 ,国家
养正合剂,肿瘤用药 ,国家
生白口服液,肿瘤用药 ,国家
妇女痛经丸,妇科用药 ,国家
五加生化胶囊,妇科用药 ,国家
经舒颗粒,妇科用药 ,国家
坤宁口服液,妇科用药 ,国家
丹莪妇康煎膏,妇科用药 ,国家
散结镇痛胶囊,妇科用药 ,国家
新生化片,妇科用药 ,国家
益母草片,妇科用药 ,国家
少腹逐瘀颗粒,妇科用药 ,国家
葆宫止血颗粒,妇科用药 ,国家
断血流口服液,妇科用药 ,国家
宫炎平胶囊,妇科用药 ,国家
妇炎舒胶囊,妇科用药 ,国家
桂枝茯苓丸,妇科用药 ,国家
丹黄祛瘀片,妇科用药 ,国家
少腹逐瘀丸,妇科用药 ,国家
桂枝茯苓胶囊,妇科用药 ,国家
丹莪妇康颗粒,妇科用药 ,国家
舒尔经胶囊,妇科用药 ,国家
妇科断红饮胶囊,妇科用药 ,国家
妇炎平胶囊,妇科用药 ,国家
花红胶囊,妇科用药 ,国家
乳癖散结胶囊,妇科用药 ,国家
乳癖散结颗粒,妇科用药 ,国家
明目上清丸,眼科用药 ,国家
黄连羊肝片,眼科用药 ,国家
明目上清片,眼科用药 ,国家
和血明目片,眼科用药 ,国家
双丹明目胶囊,眼科用药 ,国家
复方血栓通片,眼科用药 ,国家
耳聋胶囊,耳鼻喉科用药 ,国家
辛芩颗粒,耳鼻喉科用药 ,国家
鼻渊舒胶囊,耳鼻喉科用药 ,国家
明目蒺藜丸,眼科用药 ,国家
板蓝根滴眼液,眼科用药 ,国家
马应龙八宝眼膏,眼科用药 ,国家
石斛夜光丸,眼科用药 ,国家
芍杞颗粒,眼科用药 ,国家
复明颗粒,眼科用药 ,国家
耳聋左慈丸,耳鼻喉科用药 ,国家
香菊片,耳鼻喉科用药 ,国家
鼻咽清毒剂,耳鼻喉科用药 ,国家
口炎清胶囊,耳鼻喉科用药 ,国家
接骨七厘散,骨伤科用药 ,国家
跌打片,骨伤科用药 ,国家
接骨七厘丸,骨伤科用药 ,国家
红药胶囊,骨伤科用药 ,国家
活血风湿膏,骨伤科用药 ,国家
骨刺宁片,骨伤科用药 ,国家
活血止痛软胶囊,骨伤科用药 ,国家
颈通颗粒,骨伤科用药 ,国家
痛血康胶囊,骨伤科用药 ,国家
舒筋活血片,骨伤科用药 ,国家
云南白药,骨伤科用药 ,国家
沈阳红药,骨伤科用药 ,国家
三七伤药颗粒,骨伤科用药 ,国家
沈阳红药胶囊,骨伤科用药 ,国家
颈舒颗粒,骨伤科用药 ,国家
活血舒筋酊,骨伤科用药 ,国家
颈复康颗粒,骨伤科用药 ,国家
扭伤归胶囊,骨伤科用药 ,国家
活血止痛片,骨伤科用药 ,国家
金刚藤胶囊,妇科用药 ,国家
保妇康栓,妇科用药 ,国家
苦参凝胶,妇科用药 ,国家
八珍益母膏,妇科用药 ,国家
八珍益母胶囊,妇科用药 ,国家
孕康口服液,妇科用药 ,国家
乳核散结片,妇科用药 ,国家
消结安胶囊,妇科用药 ,国家
乳癖消胶囊,妇科用药 ,国家
宫瘤宁胶囊,妇科用药 ,国家
乳康片,妇科用药 ,国家
康妇凝胶,妇科用药 ,国家
安坤赞育丸,妇科用药 ,国家
定坤丹,妇科用药 ,国家
乌鸡白凤胶囊,妇科用药 ,国家
宫瘤宁片,妇科用药 ,国家
乳块消丸,妇科用药 ,国家
宫瘤清颗粒,妇科用药 ,国家
乳癖消颗粒,妇科用药 ,国家
宫瘤宁颗粒,妇科用药 ,国家
鼻渊通窍颗粒,耳鼻喉科用药 ,国家
散风通窍滴丸,耳鼻喉科用药 ,国家
藿胆片,耳鼻喉科用药 ,国家
通窍鼻炎胶囊,耳鼻喉科用药 ,国家
六神丸,耳鼻喉科用药 ,国家
玄麦甘桔胶囊,耳鼻喉科用药 ,国家
复方珍珠口疮颗粒,耳鼻喉科用药 ,国家
退热清咽颗粒,耳鼻喉科用药 ,国家
喉咽清口服液,耳鼻喉科用药 ,国家
梅花点舌片,耳鼻喉科用药 ,国家
口腔炎喷雾剂,耳鼻喉科用药 ,国家
通窍鼻炎片,耳鼻喉科用药 ,国家
藿胆滴丸,耳鼻喉科用药 ,国家
黄氏响声丸,耳鼻喉科用药 ,国家
青黛散,耳鼻喉科用药 ,国家
儿童清咽解热口服液,耳鼻喉科用药 ,国家
清咽润喉丸,耳鼻喉科用药 ,国家
珠黄散,耳鼻喉科用药 ,国家
金嗓开音片,耳鼻喉科用药 ,国家
速效牙痛宁酊,耳鼻喉科用药 ,国家
复方氨基酸[18AA、18AA-Ⅰ、18AA-Ⅱ、18AA-Ⅲ（18AAF）、18AA-V],营养治疗药物 [注射剂],国家
托泊替康,抗肿瘤药物 [注射剂],国家
可乐定（苯氨咪唑啉）,循环系统药物 [口服常释剂型],国家
重组人促红素（CHO细胞）,血液系统药物 [注射剂],国家
重组人粒细胞刺激因子,血液系统药物 [注射剂],国家
可乐定（苯氨咪唑啉）,专科特殊用药物 [滴眼剂],国家
口腔炎喷雾剂（气雾剂）,耳鼻喉科用药 [气雾剂],国家
齐多夫定+拉米夫定,抗微生物药物 [片剂],国家
达芦那韦,抗微生物药物 [片剂],国家
双氢青蒿素哌喹,抗寄生虫病药物 [片剂],国家
青蒿琥酯,抗寄生虫病药物 [注射剂],国家
溴米那普鲁卡因,消化系统药物 [注射剂],国家
卡巴克络（卡络磺钠）,血液系统药物 [注射剂],国家
维生素B4（磷酸腺嘌呤）,血液系统药物 [口服常释剂型],国家
重组人粒细胞巨噬细胞刺激因子,血液系统药物 [注射剂],国家
透明质酸钠（玻璃酸钠）,专科特殊用药物 [滴眼剂],国家
替诺福韦,抗微生物药物 [片剂],国家
阿巴卡韦+齐多夫定+拉米夫定,抗微生物药物 [片剂],国家
拉替拉韦,抗微生物药物 [片剂],国家
蒿甲醚,抗寄生虫病药物 [注射剂],国家
