内科用药 ,国家
新霉素,皮肤病用药 [软膏剂],国家
氟轻松,皮肤病用药 [软膏剂],国家
糠酸莫米松,皮肤病用药 [软膏剂],国家
阿达帕林,皮肤病用药 [凝胶剂],国家
异维A酸,皮肤病用药 [凝胶剂],国家
糠馏油,皮肤病用药 [软膏剂],国家
他克莫司,皮肤病用药 [软膏剂],国家
制霉素,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家
复方甲硝唑,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家
卡前列素氨丁三醇,泌尿生殖系统药和性激素 [注射剂],国家
乳杆菌活菌,泌尿生殖系统药和性激素 [阴道胶囊],国家
氢化可的松,皮肤病用药 [软膏剂],国家
硼酸,皮肤病用药 [外用液体剂;软膏剂],国家
硫磺,皮肤病用药 [软膏剂],国家
吡美莫司,皮肤病用药 [软膏剂],国家
煤焦油,皮肤病用药 [外用液体剂;软膏剂],国家
甲硝唑,泌尿生殖系统药和性激素 [阴道泡腾片;栓剂],国家
复方莪术油,泌尿生殖系统药和性激素 [栓剂],国家
益康唑,泌尿生殖系统药和性激素 [栓剂],国家
利托君,泌尿生殖系统药和性激素 [口服常释剂型],国家
缩宫素,除性激素和胰岛素外的全身激素制剂 [喷雾剂],国家
奥曲肽,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
复方倍他米松,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
曲安西龙,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
高血糖素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
鲑降钙素,除性激素和胰岛素外的全身激素制剂 [吸入剂],国家
多西环素,全身用抗感染药 [口服常释剂型],国家
氨苄西林,全身用抗感染药 [注射剂],国家
磺苄西林,全身用抗感染药 [注射剂],国家
青霉素V,全身用抗感染药 [口服常释剂型;颗粒剂],国家
舒巴坦,全身用抗感染药 [注射剂],国家
倍他米松,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
甲泼尼龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
甲巯咪唑,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
生物合成高血糖素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
依降钙素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
阿莫西林,全身用抗感染药 [口服常释剂型],国家
阿洛西林,全身用抗感染药 [注射剂],国家
苄星青霉素,全身用抗感染药 [注射剂],国家
氯唑西林,全身用抗感染药 [注射剂],国家
溴隐亭,泌尿生殖系统药和性激素 [口服常释剂型],国家
甲睾酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
炔雌醇,泌尿生殖系统药和性激素 [口服常释剂型],国家
普罗雌烯,泌尿生殖系统药和性激素 [阴道片;阴道胶囊;阴道软胶囊;软膏剂],国家
结合雌激素,泌尿生殖系统药和性激素 [口服常释剂型],国家
黄酮哌酯,泌尿生殖系统药和性激素 [口服常释剂型],国家
托特罗定,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家
非那雄胺,泌尿生殖系统药和性激素 [口服常释剂型],国家
坦索罗辛,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家
去氨加压素,除性激素和胰岛素外的全身激素制剂 [吸入剂],国家
鞣酸加压素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
己烯雌酚,泌尿生殖系统药和性激素 [注射剂],国家
结合雌激素,泌尿生殖系统药和性激素 [口服常释剂型],国家
替勃龙,泌尿生殖系统药和性激素 [口服常释剂型],国家
米非司酮(Ⅱ),泌尿生殖系统药和性激素 [口服常释剂型],国家
奥昔布宁,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家
特拉唑嗪,泌尿生殖系统药和性激素 [口服常释剂型],国家
赛洛多辛,泌尿生殖系统药和性激素 [口服常释剂型],国家
去氨加压素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
鞣酸加压素,除性激素和胰岛素外的全身激素制剂 [吸入剂],国家
阿莫西林克拉维酸,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家
美洛西林舒巴坦,全身用抗感染药 [注射剂],国家
替卡西林克拉维酸,全身用抗感染药 [注射剂],国家
头孢拉定,全身用抗感染药 [注射剂],国家
头孢呋辛,全身用抗感染药 [注射剂],国家
头孢西丁,全身用抗感染药 [注射剂],国家
头孢哌酮舒巴坦,全身用抗感染药 [注射剂],国家
美罗培南,全身用抗感染药 [注射剂],国家
法罗培南,全身用抗感染药 [口服常释剂型],国家
阿奇霉素,全身用抗感染药 [口服常释剂型;颗粒剂],国家
罗红霉素,全身用抗感染药 [口服常释剂型],国家
哌拉西林他唑巴坦,全身用抗感染药 [注射剂],国家
头孢拉定,全身用抗感染药 [口服常释剂型],国家
头孢硫脒,全身用抗感染药 [注射剂],国家
头孢呋辛酯,全身用抗感染药 [口服常释剂型],国家
头孢噻肟,全身用抗感染药 [注射剂],国家
头孢吡肟,全身用抗感染药 [注射剂],国家
帕尼培南倍他米隆,全身用抗感染药 [注射剂],国家
小儿复方磺胺甲噁唑,全身用抗感染药 [口服常释剂型],国家
地红霉素,全身用抗感染药 [口服常释剂型],国家
阿德福韦酯,全身用抗感染药 [口服常释剂型],国家
恩曲他滨,全身用抗感染药 [口服常释剂型],国家
替诺福韦二吡呋酯,全身用抗感染药 [口服常释剂型],国家
帕拉米韦氯化钠,全身用抗感染药 [注射剂],国家
抗银环蛇毒血清,全身用抗感染药 [注射剂],国家
A型肉毒毒素,全身用抗感染药 [注射剂],国家
抗炭疽血清,全身用抗感染药 [注射剂],国家
苯丁酸氮芥,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
异环磷酰胺,抗肿瘤药及免疫调节剂 [注射剂],国家
塞替派,抗肿瘤药及免疫调节剂 [注射剂],国家
氮甲,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
恩曲他滨替诺福韦,全身用抗感染药 [口服常释剂型],国家
奥司他韦,全身用抗感染药 [口服常释剂型;颗粒剂],国家
多价气性坏疽抗毒素,全身用抗感染药 [注射剂],国家
破伤风抗毒素,全身用抗感染药 [注射剂],国家
马破伤风免疫球蛋白,全身用抗感染药 [注射剂],国家
氮芥,抗肿瘤药及免疫调节剂 [注射剂],国家
美法仑,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
尼莫司汀,抗肿瘤药及免疫调节剂 [注射剂],国家
达卡巴嗪,抗肿瘤药及免疫调节剂 [注射剂],国家
磷霉素,全身用抗感染药 [口服常释剂型;口服散剂],国家
黏菌素,全身用抗感染药 [口服常释剂型],国家
氟康唑,全身用抗感染药 [口服常释剂型],国家
氟康唑,全身用抗感染药 [注射剂],国家
制霉素,全身用抗感染药 [口服常释剂型],国家
利福平(Ⅱ),全身用抗感染药 [口服常释剂型],国家
异烟肼,全身用抗感染药 [注射剂],国家
乙胺吡嗪利福异烟(Ⅱ),全身用抗感染药 [口服常释剂型],国家
利福平异烟肼,全身用抗感染药 [口服常释剂型],国家
阿昔洛韦,全身用抗感染药 [颗粒剂],国家
膦甲酸钠膦,全身用抗感染药 [注射剂],国家
两性霉素B,全身用抗感染药 [注射剂],国家
伏立康唑,全身用抗感染药 [口服常释剂型;口服液体剂],国家
伊曲康唑,全身用抗感染药 [口服常释剂型;颗粒剂],国家
利福平,全身用抗感染药 [口服常释剂型],国家
卷曲霉素,全身用抗感染药 [注射剂],国家
乙胺丁醇,全身用抗感染药 [口服常释剂型],国家
乙胺利福异烟,全身用抗感染药 [口服常释剂型],国家
异福酰胺,全身用抗感染药 [口服常释剂型],国家
阿昔洛韦,全身用抗感染药 [注射剂],国家
乙酰螺旋霉素,全身用抗感染药 [口服常释剂型],国家
克林霉素磷酸酯,全身用抗感染药 [口服常释剂型],国家
链霉素,全身用抗感染药 [注射剂],国家
奈替米星,全身用抗感染药 [注射剂],国家
环丙沙星,全身用抗感染药 [口服常释剂型],国家
氧氟沙星,全身用抗感染药 [注射剂],国家
氟罗沙星,全身用抗感染药 [注射剂],国家
去甲万古霉素,全身用抗感染药 [注射剂],国家
替硝唑,全身用抗感染药 [注射剂],国家
呋喃妥因,全身用抗感染药 [口服常释剂型],国家
利奈唑胺,全身用抗感染药 [口服常释剂型],国家
克林霉素棕榈酸酯,全身用抗感染药 [口服液体剂],国家
阿米卡星,全身用抗感染药 [注射剂],国家
异帕米星,全身用抗感染药 [注射剂],国家
诺氟沙星,全身用抗感染药 [口服常释剂型],国家
左氧氟沙星,全身用抗感染药 [注射剂],国家
左氧氟沙星氯化钠,全身用抗感染药 [注射剂],国家
替考拉宁,全身用抗感染药 [注射剂],国家
左奥硝唑氯化钠,全身用抗感染药 [注射剂],国家
大蒜素,全身用抗感染药 [注射剂],国家
羟基脲,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
维A酸,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
戈舍瑞林,抗肿瘤药及免疫调节剂 [口服常释剂型;缓释植入剂],国家
他莫昔芬,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
重组人粒细胞刺激因子,抗肿瘤药及免疫调节剂 [注射剂],国家
重组人干扰素α2b(假单胞菌),抗肿瘤药及免疫调节剂 [注射剂],国家
肌苷,抗肿瘤药及免疫调节剂 [注射剂],国家
乌苯美司,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
来氟米特,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
环孢素,抗肿瘤药及免疫调节剂 [口服常释剂型;口服液体剂],国家
双氯芬酸,肌肉-骨骼系统药物 [口服常释剂型],国家
安吖啶,抗肿瘤药及免疫调节剂 [注射剂],国家
亮丙瑞林,抗肿瘤药及免疫调节剂 [微球注射剂],国家
阿那曲唑,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
重组人粒细胞巨噬细胞刺激因子,抗肿瘤药及免疫调节剂 [注射剂],国家
重组人干扰素α2b(酵母),抗肿瘤药及免疫调节剂 [注射剂],国家
草分枝杆菌F.U.36,抗肿瘤药及免疫调节剂 [注射剂],国家
胸腺法新,抗肿瘤药及免疫调节剂 [注射剂],国家
抗人T细胞兔免疫球蛋白,抗肿瘤药及免疫调节剂 [注射剂],国家
沙利度胺,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
吲哚美辛,肌肉-骨骼系统药物 [栓剂],国家
氯诺昔康,肌肉-骨骼系统药物 [注射剂],国家
氟比洛芬,肌肉-骨骼系统药物 [贴膏剂;巴布膏剂;凝胶贴膏剂],国家
依托考昔,肌肉-骨骼系统药物 [口服常释剂型],国家
氨基葡萄糖,肌肉-骨骼系统药物 [口服常释剂型],国家
巴氯芬,肌肉-骨骼系统药物 [口服常释剂型],国家
别嘌醇,肌肉-骨骼系统药物 [口服常释剂型],国家
非布司他,肌肉-骨骼系统药物 [口服常释剂型],国家
利塞膦酸钠,肌肉-骨骼系统药物 [口服常释剂型],国家
羟乙膦酸钠,肌肉-骨骼系统药物 [口服常释剂型],国家
因卡膦酸二钠,肌肉-骨骼系统药物 [注射剂],国家
布洛芬,肌肉-骨骼系统药物 [口服常释剂型],国家
帕瑞昔布,肌肉-骨骼系统药物 [注射剂],国家
萘丁美酮,肌肉-骨骼系统药物 [口服常释剂型],国家
萘丁美酮,肌肉-骨骼系统药物 [缓释控释剂型],国家
替扎尼定,肌肉-骨骼系统药物 [口服常释剂型],国家
丙磺舒,肌肉-骨骼系统药物 [口服常释剂型],国家
阿仑膦酸钠,肌肉-骨骼系统药物 [口服常释剂型],国家
帕米膦酸二钠葡萄糖,肌肉-骨骼系统药物 [注射剂],国家
伊班膦酸,肌肉-骨骼系统药物 [注射剂],国家
甲氨蝶呤,抗肿瘤药及免疫调节剂 [注射剂],国家
巯嘌呤,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
氟尿嘧啶,抗肿瘤药及免疫调节剂 [注射剂],国家
卡莫氟,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
替加氟氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家
长春碱,抗肿瘤药及免疫调节剂 [注射剂],国家
高三尖杉酯碱,抗肿瘤药及免疫调节剂 [注射剂],国家
放线菌素D,抗肿瘤药及免疫调节剂 [注射剂],国家
阿柔比星,抗肿瘤药及免疫调节剂 [注射剂],国家
平阳霉素,抗肿瘤药及免疫调节剂 [注射剂],国家
奈达铂,抗肿瘤药及免疫调节剂 [注射剂],国家
氟尿嘧啶,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
氟尿嘧啶葡萄糖,抗肿瘤药及免疫调节剂 [注射剂],国家
替加氟,抗肿瘤药及免疫调节剂 [栓剂],国家
长春地辛,抗肿瘤药及免疫调节剂 [注射剂],国家
长春瑞滨,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
羟基喜树碱氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家
多柔比星,抗肿瘤药及免疫调节剂 [注射剂],国家
伊达比星,抗肿瘤药及免疫调节剂 [注射剂],国家
奥沙利铂,抗肿瘤药及免疫调节剂 [注射剂],国家
唑来膦酸,肌肉-骨骼系统药物 [注射剂],国家
动物骨多肽制剂,肌肉-骨骼系统药物 [注射剂],国家
舒芬太尼,神经系统药物 [注射剂],国家
丁卡因,神经系统药物 [注射剂],国家
氯普鲁卡因,神经系统药物 [注射剂],国家
利多卡因,神经系统药物 [吸入剂;凝胶剂;外用液体剂],国家
左布比卡因,神经系统药物 [注射剂],国家
氨酚双氢可待因,神经系统药物 [口服常释剂型],国家
布桂嗪,神经系统药物 [注射剂],国家
安乃近,神经系统药物 [滴鼻剂],国家
氨酚羟考酮,神经系统药物 [口服常释剂型],国家
瑞芬太尼,神经系统药物 [注射剂],国家
丙泊酚,神经系统药物 [注射剂],国家
普鲁卡因,神经系统药物 [注射剂],国家
复方阿替卡因,神经系统药物 [注射剂],国家
利多卡因(Ⅰ),神经系统药物 [胶浆剂],国家
氨酚待因Ⅱ,神经系统药物 [口服常释剂型],国家
洛芬待因,神经系统药物 [口服常释剂型;缓释控释剂型],国家
丁丙诺啡,神经系统药物 [透皮贴剂],国家
小儿对乙酰氨基酚,神经系统药物 [口服常释剂型],国家
复方盐酸氯丙嗪,神经系统药物 [注射剂],国家
奋乃静,神经系统药物 [注射剂],国家
氟哌利多,神经系统药物 [注射剂],国家
氟哌噻吨,神经系统药物 [注射剂],国家
五氟利多,神经系统药物 [口服常释剂型],国家
氯氮平,神经系统药物 [口服常释剂型],国家
氨磺必利,神经系统药物 [口服常释剂型],国家
咪达唑仑,神经系统药物 [注射剂],国家
佐匹克隆,神经系统药物 [口服常释剂型],国家
氟伏沙明,神经系统药物 [口服常释剂型],国家
西酞普兰,神经系统药物 [口服常释剂型],国家
氟哌啶醇,神经系统药物 [注射剂],国家
氟哌噻吨,神经系统药物 [口服常释剂型],国家
氯哌噻吨,神经系统药物 [注射剂],国家
喹硫平,神经系统药物 [口服常释剂型],国家
奥氮平,神经系统药物 [口服常释剂型],国家
艾司唑仑,神经系统药物 [口服常释剂型],国家
硝西泮,神经系统药物 [口服常释剂型],国家
右美托咪定,神经系统药物 [注射剂],国家
舍曲林,神经系统药物 [口服常释剂型],国家
对乙酰氨基酚,神经系统药物 [缓释控释剂型;口服液体剂],国家
对乙酰氨基酚,神经系统药物 [栓剂],国家
罗通定,神经系统药物 [注射剂],国家
双氢麦角胺,神经系统药物 [口服常释剂型],国家
苯妥英钠,神经系统药物 [口服常释剂型],国家
卡马西平,神经系统药物 [口服常释剂型],国家
丙戊酸钠,神经系统药物 [口服常释剂型],国家
托吡酯,神经系统药物 [口服常释剂型],国家
左乙拉西坦,神经系统药物 [口服液体剂],国家
阿扑吗啡,神经系统药物 [注射剂],国家
恩他卡朋,神经系统药物 [口服常释剂型],国家
复方对乙酰氨基酚,神经系统药物 [口服常释剂型],国家
四氢帕马丁,神经系统药物 [口服常释剂型],国家
扑米酮,神经系统药物 [口服常释剂型],国家
氯硝西泮,神经系统药物 [口服常释剂型],国家
卡马西平,神经系统药物 [缓释控释剂型],国家
丙戊酸钠,神经系统药物 [注射剂],国家
左乙拉西坦,神经系统药物 [口服常释剂型],国家
苯海索,神经系统药物 [口服常释剂型],国家
司来吉兰,神经系统药物 [口服常释剂型],国家
伯氨喹,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
氯喹,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
青蒿素类药物,抗寄生虫药，杀虫药和驱虫药 ,国家
磺胺多辛乙胺嘧啶,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
乙胺嘧啶,抗寄生虫药，杀虫药和驱虫药 [贴剂],国家
葡萄糖酸锑钠,抗寄生虫药，杀虫药和驱虫药 [注射剂],国家
阿苯达唑,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
呋麻,呼吸系统 [滴鼻剂],国家
氟替卡松,呼吸系统 [吸入剂;粉雾剂],国家
复方诺氟沙星,呼吸系统 [滴鼻剂],国家
布地奈德福莫特罗,呼吸系统 [吸入剂],国家
氯喹,抗寄生虫药，杀虫药和驱虫药 [注射剂],国家
咯萘啶,抗寄生虫药，杀虫药和驱虫药 [注射剂],国家
哌喹,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
葡萄糖酸锑钠,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
吡喹酮,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
双羟萘酸噻嘧啶,抗寄生虫药，杀虫药和驱虫药 [软膏剂;栓剂],国家
倍氯米松福莫特罗,呼吸系统 [气雾剂],国家
糠酸莫米松,呼吸系统 [吸入剂],国家
沙丁胺醇,呼吸系统 [吸入剂],国家
度洛西汀,神经系统药物 [口服常释剂型],国家
吗氯贝胺,神经系统药物 [口服常释剂型],国家
瑞波西汀,神经系统药物 [口服常释剂型],国家
文拉法辛,神经系统药物 [口服常释剂型;缓释控释剂型],国家
吡硫醇,神经系统药物 [注射剂],国家
美金刚,神经系统药物 [口服常释剂型;口服溶液剂],国家
美沙酮,神经系统药物 [注射剂],国家
倍他司汀,神经系统药物 [注射剂],国家
胞磷胆碱,神经系统药物 [口服常释剂型],国家
环轮宁,神经系统药物 [注射剂],国家
甲硝唑,抗寄生虫药，杀虫药和驱虫药 [口服常释剂型],国家
米那普仑,神经系统药物 [口服常释剂型],国家
噻奈普汀,神经系统药物 [口服常释剂型],国家
石杉碱甲,神经系统药物 [口服常释剂型],国家
氟哌噻吨美利曲辛,神经系统药物 [口服常释剂型],国家
依酚氯铵,神经系统药物 [注射剂],国家
地芬尼多,神经系统药物 [口服常释剂型],国家
胞磷胆碱,神经系统药物 [注射剂],国家
吡拉西坦,神经系统药物 [口服常释剂型],国家
天麻素,神经系统药物 [注射剂],国家
依美斯汀,呼吸系统 [缓释控释剂型],国家
贝美格,呼吸系统 [注射剂],国家
阿昔洛韦,感觉器官药物 [滴眼剂],国家
羟苄唑,感觉器官药物 [滴眼剂],国家
更昔洛韦,感觉器官药物 [眼用凝胶],国家
磺胺醋酰钠,感觉器官药物 [滴眼剂],国家
那他霉素,感觉器官药物 [滴眼剂],国家
氧氟沙星,感觉器官药物 [眼膏剂;滴眼剂],国家
氟米龙,感觉器官药物 [滴眼剂],国家
溴芬酸钠,感觉器官药物 [滴眼剂],国家
曲伏前列素,感觉器官药物 [滴眼剂],国家
尼可刹米,呼吸系统 [注射剂],国家
氯霉素,感觉器官药物 [滴眼剂],国家
左氧氟沙星,感觉器官药物 [滴眼剂],国家
环丙沙星,感觉器官药物 [眼膏剂;滴眼剂],国家
林可霉素,感觉器官药物 [滴眼剂],国家
诺氟沙星,感觉器官药物 [滴眼剂],国家
可的松,感觉器官药物 [眼膏剂;滴眼剂],国家
双氯芬酸钠,感觉器官药物 [滴眼剂],国家
毛果芸香碱,感觉器官药物 [眼用凝胶剂],国家
结核菌素纯蛋白衍生物,杂类 [注射剂],国家
旧结核菌素,杂类 [注射剂],国家
辅酶Q10,杂类 [注射剂],国家
碘苯酯,杂类 [注射剂],国家
碘普罗胺,杂类 [注射剂],国家
复方泛影葡胺,杂类 [注射剂],国家
双重造影产气,杂类 [颗粒剂],国家
锝[99mTc]喷替酸盐,杂类 [注射剂],国家
碘[125I]密封籽源,杂类 [放射密封籽源],国家
精蛋白重组人胰岛素混合(40/60),消化道和代谢方面的药物 [注射剂],国家
精蛋白重组人胰岛素混合(30/70),消化道和代谢方面的药物 [注射剂],国家
多种微量元素(Ⅱ),杂类 [注射剂],国家
复方α-酮酸,杂类 [口服常释剂型],国家
碘化油,杂类 [注射剂],国家
泛影葡胺,杂类 [注射剂],国家
硫酸钡Ⅰ型,杂类 [干混悬剂],国家
锝[99mTc]二巯丁二酸盐,杂类 [注射剂],国家
锝[99mTc]依替菲宁,杂类 [注射剂],国家
精蛋白生物合成人胰岛素,消化道和代谢方面的药物 [注射剂],国家
精蛋白重组人胰岛素混合(50/50),消化道和代谢方面的药物 [注射剂],国家
左布诺洛尔,感觉器官药物 [滴眼剂],国家
氮䓬斯汀,感觉器官药物 [滴眼剂],国家
玻璃酸钠,感觉器官药物 [滴眼剂],国家
小牛血去蛋白提取物,感觉器官药物 [眼用凝胶],国家
重组人表皮生长因子(酵母),感觉器官药物 [滴眼剂],国家
克霉唑,感觉器官药物 [滴耳剂],国家
氯霉素甘油,感觉器官药物 [滴耳剂],国家
复方醋酸曲安奈德,感觉器官药物 [滴耳剂],国家
亚叶酸钙,杂类 [口服常释剂型],国家
美司那,杂类 [注射剂],国家
布氏菌素,杂类 [注射剂],国家
荧光素钠,感觉器官药物 [注射剂],国家
环孢素,感觉器官药物 [滴眼剂],国家
重组牛碱性成纤维细胞生长因子,感觉器官药物 [眼用凝胶],国家
林可霉素,感觉器官药物 [滴耳剂],国家
洛美沙星,感觉器官药物 [滴耳剂],国家
左氧氟沙星,感觉器官药物 [滴耳剂],国家
依地酸钙钠,杂类 [注射剂],国家
亚叶酸钙氯化钠,杂类 [注射剂],国家
右丙亚胺,杂类 [注射剂],国家
沙丁胺醇,呼吸系统 [粉雾剂],国家
复方异丙托溴铵,呼吸系统 [吸入剂],国家
克仑特罗,呼吸系统 [栓剂],国家
氨茶碱,呼吸系统 [注射剂],国家
二羟丙茶碱,呼吸系统 [口服常释剂型],国家
羧甲司坦,呼吸系统 [口服常释剂型;口服液体剂],国家
可待因,呼吸系统 [口服常释剂型],国家
复方樟脑,呼吸系统 [口服液体剂],国家
贝他斯汀,呼吸系统 [口服常释剂型],国家
氯雷他定,呼吸系统 [口服液体剂],国家
依巴斯汀,呼吸系统 [口服常释剂型],国家
班布特罗,呼吸系统 [口服常释剂型],国家
沙丁胺醇(Ⅱ),呼吸系统 [缓释控释剂型],国家
多索茶碱,呼吸系统 [口服常释剂型],国家
半胱氨酸,呼吸系统 [注射剂],国家
溴己新,呼吸系统 [注射剂],国家
右美沙芬,呼吸系统 [口服常释剂型;口服液体剂;颗粒剂;缓释混悬剂],国家
缓解感冒症状的复方OTC制剂,呼吸系统 ,国家
地氯雷他定,呼吸系统 [口服常释剂型;口服液体剂],国家
去氯羟嗪,呼吸系统 [口服常释剂型],国家
复方氨酚那敏颗粒,呼吸系统 [颗粒剂],国家
复方氨酚烷胺颗粒,呼吸系统 [颗粒剂],国家
复方枇杷氯化铵糖浆,呼吸系统 [糖浆剂],国家
美愈伪麻胶囊,呼吸系统 [胶囊剂],国家
美愈伪麻口服液,呼吸系统 [口服溶液剂],国家
双扑伪麻胶囊,呼吸系统 [胶囊剂],国家
愈酚维林片,呼吸系统 [片剂],国家
愈美片,呼吸系统 [片剂],国家
肠内营养混悬液(TPSPA),杂类 [口服液体剂;混悬剂],国家
肠内营养混悬液(TPF-FOS),杂类 [口服液体剂;混悬剂],国家
肠内营养混悬液(TPF),杂类 [口服液体剂;混悬剂],国家
复方甘草氯化铵糖浆,呼吸系统 [糖浆剂],国家
科达琳,呼吸系统 [片剂],国家
美愈伪麻口服溶液,呼吸系统 [口服溶液剂],国家
双分伪麻胶囊,呼吸系统 [胶囊剂],国家
伪麻那敏胶囊,呼吸系统 [胶囊剂],国家
愈美颗粒剂,呼吸系统 [颗粒剂],国家
短肽型肠内营养剂,杂类 [口服散剂],国家
肠内营养乳剂(TPF-T),杂类 [口服液体剂],国家
肠内营养乳剂(TPF-D),杂类 [口服液体剂],国家
精蛋白锌重组赖脯胰岛素混合(25R),消化道和代谢方面的药物 [注射剂],国家
精蛋白锌重组赖脯胰岛素混合(50R),消化道和代谢方面的药物 [注射剂],国家
复方丙谷胺西咪替丁片,消化道和代谢方面的药物 ,国家
复方颠茄氢氧化铝散,消化道和代谢方面的药物 ,国家
复方维生素U胶囊,消化道和代谢方面的药物 ,国家
龙胆碳酸氢钠片,消化道和代谢方面的药物 ,国家
铝镁混悬液,消化道和代谢方面的药物 ,国家
维U颠茄铝镁片,消化道和代谢方面的药物 ,国家
齐多夫定,全身用抗感染药 [胶囊剂;片剂;糖浆剂],国家
奈韦拉平,全身用抗感染药 [片剂;糖浆剂],国家
马拉韦罗,全身用抗感染药 [片剂],国家
甘精胰岛素,消化道和代谢方面的药物 [注射剂],国家
复方颠茄氢氧化铝片,消化道和代谢方面的药物 ,国家
复方淀粉酶口服溶液,消化道和代谢方面的药物 ,国家
复方溴丙胺太林铝镁片,消化道和代谢方面的药物 ,国家
健胃片,消化道和代谢方面的药物 ,国家
维U颠茄铝胶囊,消化道和代谢方面的药物 ,国家
维U颠茄铝镁片Ⅱ,消化道和代谢方面的药物 ,国家
司坦夫定,全身用抗感染药 [胶囊剂;糖浆剂],国家
阿巴卡韦拉米夫定,全身用抗感染药 [片剂],国家
复方磷酸萘酚喹,抗寄生虫药，杀虫药和驱虫药 [片剂],国家
氨酚咖黄烷胺片,呼吸系统 [片剂],国家
氨酚烷胺咖敏胶囊,呼吸系统 [胶囊剂],国家
氨酚伪麻颗粒剂,呼吸系统 [颗粒剂],国家
氨酚伪麻那敏胶囊(夜用),呼吸系统 [胶囊剂],国家
氨咖黄敏胶囊,呼吸系统 [胶囊剂],国家
氨咖愈敏溶液,呼吸系统 [口服溶液剂],国家
氨麻美敏口服溶液,呼吸系统 [口服溶液剂],国家
贝敏伪麻片,呼吸系统 [片剂],国家
酚麻美敏胶囊,呼吸系统 [胶囊剂],国家
复方氨酚美沙糖浆,呼吸系统 [糖浆剂],国家
氨酚那敏三味浸膏胶囊,呼吸系统 [胶囊剂],国家
氨酚伪麻胶囊,呼吸系统 [胶囊剂],国家
氨酚伪麻那敏胶囊,呼吸系统 [胶囊剂],国家
氨酚伪麻那敏片,呼吸系统 [片剂],国家
氨咖黄敏片,呼吸系统 [片剂],国家
氨麻苯美片,呼吸系统 [片剂],国家
氨麻美敏片(Ⅲ),呼吸系统 [片剂],国家
布洛伪麻分散片,呼吸系统 [分散片],国家
酚明伪麻片,呼吸系统 [片剂],国家
肠内营养粉剂(TP),杂类 [口服散剂],国家
蒿甲醚,抗寄生虫药，杀虫药和驱虫药 [注射剂],国家
桂枝颗粒,内科用药 ,国家
小儿清热感冒片,内科用药 ,国家
正柴胡饮胶囊,内科用药 ,国家
皮肤康洗液,皮肤科用药 ,国家
湿毒清片,皮肤科用药 ,国家
复方青黛胶囊,皮肤科用药 ,国家
八味沉香丸,民族药 ,国家
常松八味沉香散,民族药 ,国家
洁白丸,民族药 ,国家
九味羌活丸,内科用药 ,国家
荆防颗粒,内科用药 ,国家
小儿至宝丸,内科用药 ,国家
九味羌活颗粒,内科用药 ,国家
润燥止痒胶囊,皮肤科用药 ,国家
消银片,皮肤科用药 ,国家
湿毒清胶囊,皮肤科用药 ,国家
冰黄肤乐软膏,民族药 ,国家
二十味肉豆蔻丸,民族药 ,国家
清心沉香八味丸,民族药 ,国家
肉蔻五味丸,民族药 ,国家
六味安消片,民族药 ,国家
清热八味散,民族药 ,国家
