西藏
二十五味绿绒蒿丸, ,西藏
五味石榴丸, ,西藏
四味姜黄汤散, ,西藏
七味铁屑丸, ,西藏
二十五味松石丸, ,西藏
仁青常觉, ,西藏
三臣散, ,西藏
二十五味儿茶丸, ,西藏
补肾丸, ,西藏
回生甘露丸, ,西藏
二十五味余甘子丸, ,西藏
五味獐牙菜汤散, ,西藏
月光宝鹏丸, ,西藏
七十味珍珠丸, ,西藏
十五味沉香丸, ,西藏
十五味乳鹏胶囊, ,西藏
十味诃子散, ,西藏
十八味欧曲丸, ,西藏
十三味红花丸, ,西藏
十一味草果丸, ,西藏
十味手参散, ,西藏
参龙宁心胶囊, ,西藏
注射用黄芪多糖, ,西藏
五子衍宗丸（软胶囊）, ,西藏
氟替卡松, [软膏剂],西藏
小檗胺, [口服常释剂型],西藏
十八味欧曲珍宝丸, ,西藏
十八味降香丸, ,西藏
十一味金色丸, ,西藏
十味乳香散, ,西藏
紫河车胶囊, ,西藏
消渴降糖胶囊, ,西藏
龟龄集, ,西藏
通脉降糖胶囊, ,西藏
咪康唑氯倍他索, [软膏剂],西藏
木糖醇, [注射剂],西藏
甘露聚糖肽, [注射剂],西藏
西地碘, [口服常释剂型],西藏
阿魏酸钠, [注射剂],西藏
塞利洛尔, [口服常释剂型],西藏
辅酶Q10, [口服常释剂型],西藏
奥沙普秦, [口服常释剂型],西藏
左旋咪唑, [口服液体剂],西藏
硝呋太尔, [口服常释剂型],西藏
陈香露白露片, ,西藏
天麻醒脑胶囊, ,西藏
聚维酮碘, [口服液体剂],西藏
蹄甲多肽, [口服常释剂型],西藏
多烯酸乙酯, [口服常释剂型],西藏
巴尼地平, [缓释控释剂型],西藏
二乙酰氨乙酸乙二胺, [注射剂],西藏
维生素AD, [口服常释剂型],西藏
阿司匹林, [缓释控释剂型],西藏
西格列汀, [口服常释剂型],西藏
天麻头风灵胶囊, ,西藏
溶栓胶囊, ,西藏
沉香化气胶囊, ,西藏
积雪苷霜软膏, ,西藏
海昆肾喜胶囊, ,西藏
叶绿素铜钠, [口服常释剂型],西藏
复方蛋氨酸胆碱, [口服常释剂型],西藏
抗乙肝免疫核糖核酸, [注射剂],西藏
氨溴索, [缓释控释剂型],西藏
伊索拉定, [口服常释剂型],西藏
茵陈退黄胶囊, ,西藏
鼻炎宁颗粒, ,西藏
注射用红花黄色素, ,西藏
桑葛降脂丸, ,西藏
复合辅酶, [注射剂],西藏
美贝维林, [口服常释剂型],西藏
奥沙拉秦, [口服常释剂型],西藏
托尼萘酸, [口服常释剂型],西藏
脑苷肌肽, [注射剂],西藏
愈酚溴新, [口服液体剂],西藏
熊胆开明片, ,西藏
消糜栓, ,西藏
白癜风丸, ,西藏
八味小檗皮散, ,西藏
肤痔清软膏, ,西藏
复方鸡内金片, ,西藏
路路通注射液, ,西藏
圣·约翰草提取物片, ,西藏
舒筋通络颗粒, ,西藏
伪麻黄碱, [口服常释剂型],新疆
伊立替康, [注射剂],西藏
桂哌齐特, [注射剂],西藏
八味石灰华丸, ,西藏
安神丸, ,西藏
八味秦皮丸, ,西藏
元胡止痛软胶囊, ,西藏
丹参益心胶囊, ,西藏
正清风痛灵缓释片, ,西藏
风湿止痛丸, ,西藏
L-谷氨酰胺呱仑酸钠, [颗粒剂],新疆
美金刚, [口服常释剂型],西藏
依达拉奉, [注射剂],西藏
促肝细胞生长素, [注射剂],西藏
果糖二磷酸钠, [注射剂],西藏
七味酸藤果丸, ,西藏
珊瑚七十味丸, ,西藏
萨热十三味鹏鸟丸, ,西藏
二十味沉香丸, ,西藏
八味主药散, ,西藏
大月晶丸, ,西藏
伊班膦酸钠, [注射剂],西藏
