冠心静胶囊, ,广东
复方南板蓝根颗粒, ,广东
勒马回胶囊, ,广东
舒肝宁注射液, ,广东
肚痛健胃整肠丸, ,广东
克癀胶囊, ,广东
人丹, ,广东
回心康片, ,广东
注射用红花黄色素, ,广东
舒心通脉胶囊, ,广东
羊藿三七胶囊, ,广东
昆仙胶囊, ,广东
昆明山海棠片, ,广东
调胃消滞丸, ,广东
桑麻口服液, ,广东
长春红药胶囊, ,广东
威灵骨刺膏, ,广东
利夫康洗剂, ,广东
仙璐贝滴剂, ,广东
蛭蛇通络胶囊, ,广东
海丹胶囊, ,广东
龙金通淋胶囊, ,广东
复方杜仲片, ,广东
益气健脾口服液, ,广东
回生第一散, ,广东
红花如意丸, ,广东
护骨胶囊, ,广东
加味八珍益母膏, ,广东
苍耳子鼻炎滴丸, ,广东
参田胶囊, ,广东
冠心康片, ,广东
河车大造胶囊, ,广东
慢肾宁合剂, ,广东
肠泰合剂, ,广东
肾肝宁胶囊, ,广东
茶碱麻黄碱片,呼吸系统药物 [片剂],广东
依那普利氢氯噻嗪片,循环系统药物 [片剂],广东
厄贝沙坦氢氯噻嗪片,循环系统药物 [片剂],广东
替米沙坦氢氯噻嗪片,循环系统药物 [片剂],广东
双金连合剂, ,安徽
羚羊感冒片(口服液), ,安徽
冠心泰丸, ,广东
还少胶囊, ,广东
降气定喘丸, ,广东
注射用脂溶性维生素（Ⅱ）、水溶性维生素组合包装,维生素及矿物质缺乏常用药物 [注射剂(冻干)],广东
枸橼酸铋雷尼替丁片,消化系统药物 [片剂],广东
贝那普利氢氯噻嗪片,循环系统药物 [片剂],广东
氯沙坦钾氢氯噻嗪片,循环系统药物 [片剂],广东
缬沙坦氨氯地平片（Ⅰ）,循环系统药物 [片剂],广东
加味藿香正气软胶囊, ,安徽
伤风净喷雾剂, ,安徽
舒肝宁注射液, ,安徽
小儿热速清糖浆, ,安徽
红花黄色素氯化钠注射液, ,安徽
冠心泰丸, ,安徽
冠心静胶囊(片), ,安徽
脑脉利颗粒, ,安徽
红金消结胶囊, ,安徽
心舒宝片, ,安徽
心痛康片, ,安徽
阿扎司琼, [注射剂],安徽
叶下珠胶囊, ,安徽
鼻康片, ,安徽
冠心通片, ,安徽
肝加欣片, ,安徽
脑栓康复胶囊, ,安徽
灵芝颗粒, ,安徽
强肾片, ,安徽
复方丹参气雾剂, ,安徽
复合辅酶, [注射剂],安徽
特利加压素, [注射剂],安徽
复方甘露醇, [注射剂],安徽
曲咪新, [软膏剂],安徽
转化糖电解质, [注射剂],安徽
绿脓杆菌制剂, [注射剂],安徽
酮洛芬, [凝胶剂],安徽
酮康唑, [外用液体剂],安徽
安乃近, [注射剂],安徽
阿奇霉素, [口服散剂],安徽
豨桐胶囊, ,安徽
尿清舒颗粒, ,安徽
杏芎氯化钠, [注射剂],安徽
复方乳酸钠山梨醇, [注射剂],安徽
硝呋太尔制霉菌素, [软膏剂],安徽
乙型肝炎人免疫球蛋白, [注射剂],安徽
咪喹莫特, [软膏剂],安徽
炎琥宁, [注射剂],安徽
醋氯芬酸, [缓释控释剂型],安徽
罗红霉素, [缓释控释剂型],安徽
复方芦荟胶囊, ,安徽
龙金通淋胶囊, ,安徽
锯叶棕果实提取物软胶囊, ,安徽
金参润喉合剂, ,安徽
双藤筋骨片, ,安徽
地仲强骨胶囊, ,安徽
益宫颗粒, ,安徽
宫炎康颗粒, ,安徽
乳康舒胶囊, ,安徽
消疲灵颗粒, ,安徽
复方芩兰口服液, ,安徽
菊蓝抗流感颗粒(胶囊), ,安徽
前列闭尔通栓, ,安徽
颈腰康胶囊, ,安徽
根痛平颗粒, ,安徽
宫血停颗粒, ,安徽
克痒舒洗液, ,安徽
妇康口服液, ,安徽
五灵肝复胶囊, ,安徽
优福宁胶囊, ,安徽
复方五仁醇胶囊, ,安徽
复方大青叶注射液, ,安徽
清火胶囊, ,安徽
银杏酮酯分散片, ,安徽
补肾益寿胶囊, ,安徽
海丹胶囊, ,安徽
心脑健片, ,安徽
复方卡托普利, [口服常释剂型],安徽
巴柳氮, [颗粒剂],安徽
桉柠蒎, [口服常释剂型],安徽
阿奇霉素, [口服液体剂],安徽
复方氟尿嘧啶, [口服液体剂],安徽
注射用红花黄色素, ,安徽
益脑宁片, ,安徽
新乐康片, ,安徽
丹参益心胶囊, ,安徽
门冬氨酸鸟氨酸, [颗粒剂],安徽
复方硫酸双肼屈嗪, [口服常释剂型],安徽
亮菌, [口服液体剂],安徽
脑苷肌肽, [注射剂],安徽
甘露聚糖肽, [注射剂],安徽
脾多肽, [注射剂],安徽
厄洛替尼, [口服常释剂型],安徽
伊达比星, [注射剂],安徽
氯普鲁卡因, [注射剂],安徽
地佐辛, [注射剂],安徽
复方倍他米松, [注射剂],安徽
复方氨基酸(17AA-H), [注射剂],安徽
抗癌平丸, ,安徽
金刺参九正合剂, ,安徽
单唾液酸四己糖神经节苷脂, [注射剂],安徽
